"UniProtKB_ac"	"iso_id"	"uniprot_seq_length"	"uniprot_seq_md5"	"coordinate_id"	"provider"	"from"	"to"	"template"	"qmean"	"qmean_norm"	"seqid"	"url"	"mapid"	"Seq_similarity"	"Seq_identity"	"pdb_id2"	"Resolution"
"P53889"	""	259	"35417f939bb38359f63e8ec9d4bb4a6f"	"5cd6247d9ffd121818065c11"	"SWISSMODEL"	2	258	"1nkq.2.B"	0.649562998	0.7925791724	100	"https://swissmodel.expasy.org/repository/uniprot/P53889.pdb?provider=swissmodel&from=2&to=258&template=1nkq.2.B&provider=swissmodel"	"2_258_1nkq.2.B_5cd6247d9ffd121818065c11"	"    0.61"	"    100.00"	"1nkq"	NA
"P34161"	""	385	"93e0e0c3ff915f5d9c5ad7ee461dc596"	"5cd4c37b1a200b901e4eee4f"	"SWISSMODEL"	175	239	"1fjl.1.A"	-0.282648279	0.7810037427	35.6164398193	"https://swissmodel.expasy.org/repository/uniprot/P34161.pdb?provider=swissmodel&from=175&to=239&template=1fjl.1.A&provider=swissmodel"	"175_239_1fjl.1.A_5cd4c37b1a200b901e4eee4f"	"    0.38"	"    35.62"	"1fjl"	NA
"P40581"	""	163	"a48775ed504eda8c1eb7521e18833f63"	"5cd82ecf8fd6f90b817e06b0"	"SWISSMODEL"	2	162	"3cmi.1.A"	-0.1650989514	0.7755637938	100	"https://swissmodel.expasy.org/repository/uniprot/P40581.pdb?provider=swissmodel&from=2&to=162&template=3cmi.1.A&provider=swissmodel"	"2_162_3cmi.1.A_5cd82ecf8fd6f90b817e06b0"	"    0.61"	"    100.00"	"3cmi"	NA
"P08019"	""	549	"d6d0bc137c120bc575e9589ed9eb599e"	"5cd6f4d408cc8f0caea3a4ce"	"SWISSMODEL"	72	545	"1ayx.1.A"	-3.8313842463	0.6523270316	39.0557937622	"https://swissmodel.expasy.org/repository/uniprot/P08019.pdb?provider=swissmodel&from=72&to=545&template=1ayx.1.A&provider=swissmodel"	"72_545_1ayx.1.A_5cd6f4d408cc8f0caea3a4ce"	"    0.39"	"    39.06"	"1ayx"	NA
"P32387"	""	263	"1666687a7f03c971b5dc20212087774f"	"5cd610509ffd124500a7827d"	"SWISSMODEL"	59	210	"5oom.1.S"	-4.3048825796	0.5619148717	22.3776226044	"https://swissmodel.expasy.org/repository/uniprot/P32387.pdb?provider=swissmodel&from=59&to=210&template=5oom.1.S&provider=swissmodel"	"59_210_5oom.1.S_5cd610509ffd124500a7827d"	"    0.32"	"    22.38"	"5oom"	NA
"P32387"	""	263	"1666687a7f03c971b5dc20212087774f"	"5cd610509ffd124500a78279"	"SWISSMODEL"	55	261	"3j6b.1.P"	-1.1710665081	0.7353012997	100	"https://swissmodel.expasy.org/repository/uniprot/P32387.pdb?provider=swissmodel&from=55&to=261&template=3j6b.1.P&provider=swissmodel"	"55_261_3j6b.1.P_5cd610509ffd124500a78279"	"    0.61"	"    100.00"	"3j6b"	NA
"P07246"	""	375	"bf051e391ff7084e3c189aa0fcc27bfa"	"5cd49c879ffd1291f21955cd"	"SWISSMODEL"	30	375	"5yat.1.A"	-0.0170127784	0.7678047782	72.2543334961	"https://swissmodel.expasy.org/repository/uniprot/P07246.pdb?provider=swissmodel&from=30&to=375&template=5yat.1.A&provider=swissmodel"	"30_375_5yat.1.A_5cd49c879ffd1291f21955cd"	"    0.52"	"    72.25"	"5yat"	NA
"P53061"	""	704	"9e4f550926671920eecca654a85082f7"	"5cd836381a200b4f24b20ed8"	"SWISSMODEL"	500	700	"2bgw.1.B"	-4.7213581858	0.5899211634	17.5257740021	"https://swissmodel.expasy.org/repository/uniprot/P53061.pdb?provider=swissmodel&from=500&to=700&template=2bgw.1.B&provider=swissmodel"	"500_700_2bgw.1.B_5cd836381a200b4f24b20ed8"	"    0.28"	"    17.53"	"2bgw"	NA
"P53061"	""	704	"9e4f550926671920eecca654a85082f7"	"5cd836381a200b4f24b20edc"	"SWISSMODEL"	502	700	"2bhn.1.B"	-4.7100595626	0.5898260513	17.8010463715	"https://swissmodel.expasy.org/repository/uniprot/P53061.pdb?provider=swissmodel&from=502&to=700&template=2bhn.1.B&provider=swissmodel"	"502_700_2bhn.1.B_5cd836381a200b4f24b20edc"	"    0.28"	"    17.80"	"2bhn"	NA
"P53061"	""	704	"9e4f550926671920eecca654a85082f7"	"5cd836381a200b4f24b20ed4"	"SWISSMODEL"	499	704	"6bzf.1.B"	-0.3669211402	0.7688331023	100	"https://swissmodel.expasy.org/repository/uniprot/P53061.pdb?provider=swissmodel&from=499&to=704&template=6bzf.1.B&provider=swissmodel"	"499_704_6bzf.1.B_5cd836381a200b4f24b20ed4"	"    0.60"	"    100.00"	"6bzf"	NA
"P53061"	""	704	"9e4f550926671920eecca654a85082f7"	"5cd836381a200b4f24b20ed0"	"SWISSMODEL"	502	700	"2bhn.1.A"	-4.2938712488	0.6069601842	17.8010463715	"https://swissmodel.expasy.org/repository/uniprot/P53061.pdb?provider=swissmodel&from=502&to=700&template=2bhn.1.A&provider=swissmodel"	"502_700_2bhn.1.A_5cd836381a200b4f24b20ed0"	"    0.28"	"    17.80"	"2bhn"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff9888"	"SWISSMODEL"	96	344	"4uxv.1.A"	-3.269158565	0.638929243	15.6779661179	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=96&to=344&template=4uxv.1.A&provider=swissmodel"	"96_344_4uxv.1.A_5cd4953c732c1ef94eff9888"	"    0.29"	"    15.68"	"4uxv"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff9874"	"SWISSMODEL"	207	357	"2d3e.1.A"	-2.3629952854	0.6627156953	9.0163936615	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=207&to=357&template=2d3e.1.A&provider=swissmodel"	"207_357_2d3e.1.A_5cd4953c732c1ef94eff9874"	"    0.26"	"    9.02"	"2d3e"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff9878"	"SWISSMODEL"	217	339	"2b9c.1.B"	-2.4079083486	0.6586681976	19.6428565979	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=217&to=339&template=2b9c.1.B&provider=swissmodel"	"217_339_2b9c.1.B_5cd4953c732c1ef94eff9878"	"    0.31"	"    19.64"	"2b9c"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff987c"	"SWISSMODEL"	171	366	"3na7.1.A"	-4.0306922695	0.6189811684	13.5483875275	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=171&to=366&template=3na7.1.A&provider=swissmodel"	"171_366_3na7.1.A_5cd4953c732c1ef94eff987c"	"    0.28"	"    13.55"	"3na7"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff9884"	"SWISSMODEL"	95	216	"4uy3.1.A"	-3.3307489869	0.608447311	8.8235292435	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=95&to=216&template=4uy3.1.A&provider=swissmodel"	"95_216_4uy3.1.A_5cd4953c732c1ef94eff9884"	"    0.26"	"    8.82"	"4uy3"	NA
"P36224"	""	373	"158d2ada2acf36e852a1b1b9c63c2544"	"5cd4953c732c1ef94eff9880"	"SWISSMODEL"	167	367	"3pdy.2.A"	-2.9735530997	0.6617109936	15.8227844238	"https://swissmodel.expasy.org/repository/uniprot/P36224.pdb?provider=swissmodel&from=167&to=367&template=3pdy.2.A&provider=swissmodel"	"167_367_3pdy.2.A_5cd4953c732c1ef94eff9880"	"    0.28"	"    15.82"	"3pdy"	NA
"P41913"	""	522	"b02e71de7125025b8a0edde8d294b315"	"5cd6a663a03a1b42e042663c"	"SWISSMODEL"	126	180	"5c9n.1.B"	-2.9668056352	0.6387764885	35.1851844788	"https://swissmodel.expasy.org/repository/uniprot/P41913.pdb?provider=swissmodel&from=126&to=180&template=5c9n.1.B&provider=swissmodel"	"126_180_5c9n.1.B_5cd6a663a03a1b42e042663c"	"    0.34"	"    35.19"	"5c9n"	NA
"Q03780"	""	787	"25ebc761a735c9557f041a9cbda2ab99"	"5a80057114055028ab244e94"	"SWISSMODEL"	633	673	"2a4h.1.A"	-5.8263063319	0.1374274996	34.1463432312	"https://swissmodel.expasy.org/repository/uniprot/Q03780.pdb?provider=swissmodel&from=633&to=673&template=2a4h.1.A&provider=swissmodel"	"633_673_2a4h.1.A_5a80057114055028ab244e94"	"    0.35"	"    34.15"	"2a4h"	NA
"P36001"	""	430	"c6bf62453803859046c50d70f0b1cb44"	"5cd573fa3b85d1d7e450056f"	"SWISSMODEL"	6	426	"1o5z.1.A"	-3.8974998059	0.6340549397	23.7726097107	"https://swissmodel.expasy.org/repository/uniprot/P36001.pdb?provider=swissmodel&from=6&to=426&template=1o5z.1.A&provider=swissmodel"	"6_426_1o5z.1.A_5cd573fa3b85d1d7e450056f"	"    0.32"	"    23.77"	"1o5z"	NA
"Q12676"	""	427	"4e45f5e3962a0b944401cc3661b41714"	"5cd566c88fd6f9ae1f0b05f6"	"SWISSMODEL"	3	423	"1o5z.1.A"	-3.1475195651	0.6613932279	31.9587631226	"https://swissmodel.expasy.org/repository/uniprot/Q12676.pdb?provider=swissmodel&from=3&to=423&template=1o5z.1.A&provider=swissmodel"	"3_423_1o5z.1.A_5cd566c88fd6f9ae1f0b05f6"	"    0.36"	"    31.96"	"1o5z"	NA
"P38929"	""	1173	"b2e173be97222209cb9d4d433aaed353"	"5cdab0cad60c59be20f8af37"	"SWISSMODEL"	50	1140	"3wgu.2.A"	-4.6542087153	0.5985377482	24.8654460907	"https://swissmodel.expasy.org/repository/uniprot/P38929.pdb?provider=swissmodel&from=50&to=1140&template=3wgu.2.A&provider=swissmodel"	"50_1140_3wgu.2.A_5cdab0cad60c59be20f8af37"	"    0.32"	"    24.87"	"3wgu"	NA
"P38929"	""	1173	"b2e173be97222209cb9d4d433aaed353"	"5cdab0cad60c59be20f8af33"	"SWISSMODEL"	49	1121	"5mpm.1.A"	-4.2811008522	0.6121569398	26.6949157715	"https://swissmodel.expasy.org/repository/uniprot/P38929.pdb?provider=swissmodel&from=49&to=1121&template=5mpm.1.A&provider=swissmodel"	"49_1121_5mpm.1.A_5cdab0cad60c59be20f8af33"	"    0.33"	"    26.69"	"5mpm"	NA
"P38929"	""	1173	"b2e173be97222209cb9d4d433aaed353"	"5cdab0cad60c59be20f8af2f"	"SWISSMODEL"	45	1140	"5ylv.1.A"	-4.4880461416	0.6046030182	24.760892868	"https://swissmodel.expasy.org/repository/uniprot/P38929.pdb?provider=swissmodel&from=45&to=1140&template=5ylv.1.A&provider=swissmodel"	"45_1140_5ylv.1.A_5cdab0cad60c59be20f8af2f"	"    0.32"	"    24.76"	"5ylv"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d346"	"SWISSMODEL"	21	434	"5l4g.1.4"	-4.6127099613	0.6053577795	39.1752586365	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=21&to=434&template=5l4g.1.4&provider=swissmodel"	"21_434_5l4g.1.4_5cd585bd1a200bec4f07d346"	"    0.40"	"    39.18"	"5l4g"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d342"	"SWISSMODEL"	28	428	"6he8.1.2"	-4.237785639	0.6191604226	44.7999992371	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=28&to=428&template=6he8.1.2&provider=swissmodel"	"28_428_6he8.1.2_5cd585bd1a200bec4f07d342"	"    0.41"	"    44.80"	"6he8"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d33a"	"SWISSMODEL"	27	425	"5mpc.1.2"	-3.9306681065	0.6312512852	37.2839508057	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=27&to=425&template=5mpc.1.2&provider=swissmodel"	"27_425_5mpc.1.2_5cd585bd1a200bec4f07d33a"	"    0.38"	"    37.28"	"5mpc"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d336"	"SWISSMODEL"	16	434	"5l4g.1.6"	-3.0156135002	0.666273049	68.4705886841	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=16&to=434&template=5l4g.1.6&provider=swissmodel"	"16_434_5l4g.1.6_5cd585bd1a200bec4f07d336"	"    0.50"	"    68.47"	"5l4g"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d332"	"SWISSMODEL"	27	434	"5mpa.1.6"	-2.9946959561	0.6651985631	100	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=27&to=434&template=5mpa.1.6&provider=swissmodel"	"27_434_5mpa.1.6_5cd585bd1a200bec4f07d332"	"    0.59"	"    100.00"	"5mpa"	NA
"P33297"	""	434	"4ebfcade8dc209e3004f082f85165a20"	"5cd585bd1a200bec4f07d33e"	"SWISSMODEL"	28	428	"6he9.1.2"	-4.4399388107	0.6117308726	44.7999992371	"https://swissmodel.expasy.org/repository/uniprot/P33297.pdb?provider=swissmodel&from=28&to=428&template=6he9.1.2&provider=swissmodel"	"28_428_6he9.1.2_5cd585bd1a200bec4f07d33e"	"    0.41"	"    44.80"	"6he9"	NA
"P39704"	""	215	"c487f47252b8e9b8e1c2f460e99e1b71"	"5cd704f0732c1e1368077ddf"	"SWISSMODEL"	29	124	"5gu5.1.A"	-3.7492206751	0.5888958991	35.1063842773	"https://swissmodel.expasy.org/repository/uniprot/P39704.pdb?provider=swissmodel&from=29&to=124&template=5gu5.1.A&provider=swissmodel"	"29_124_5gu5.1.A_5cd704f0732c1e1368077ddf"	"    0.37"	"    35.11"	"5gu5"	NA
"P0CX31"	""	135	"38b5e4923f38e06a0f716bd20d00593d"	"5cd8fbdfa03a1b80bb14eda8"	"SWISSMODEL"	1	96	"4v6i.29.A"	-8.1395237724	0.3444020908	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX31.pdb?provider=swissmodel&from=1&to=96&template=4v6i.29.A&provider=swissmodel"	"1_96_4v6i.29.A_5cd8fbdfa03a1b80bb14eda8"	"    0.59"	"    100.00"	"4v6i"	NA
"P0CX31"	""	135	"38b5e4923f38e06a0f716bd20d00593d"	"5cd8fbdfa03a1b80bb14eda4"	"SWISSMODEL"	2	135	"3j16.1.L"	-3.2258619133	0.6102307355	100	"https://swissmodel.expasy.org/repository/uniprot/P0CX31.pdb?provider=swissmodel&from=2&to=135&template=3j16.1.L&provider=swissmodel"	"2_135_3j16.1.L_5cd8fbdfa03a1b80bb14eda4"	"    0.59"	"    100.00"	"3j16"	NA
"Q08981"	""	209	"fcf506ab3a0439f418661469edcfffd0"	"5cd7284508cc8f7b8300c84c"	"SWISSMODEL"	60	111	"4bh6.1.B"	-1.5753860568	0.6185006597	100	"https://swissmodel.expasy.org/repository/uniprot/Q08981.pdb?provider=swissmodel&from=60&to=111&template=4bh6.1.B&provider=swissmodel"	"60_111_4bh6.1.B_5cd7284508cc8f7b8300c84c"	"    0.61"	"    100.00"	"4bh6"	NA
"Q04739"	""	417	"fbde2f87de8deb6b415cec842a87fdee"	"5cd540011a200b78028471a0"	"SWISSMODEL"	159	416	"2qlv.1.B"	-4.1248330105	0.6064763153	70.6827316284	"https://swissmodel.expasy.org/repository/uniprot/Q04739.pdb?provider=swissmodel&from=159&to=416&template=2qlv.1.B&provider=swissmodel"	"159_416_2qlv.1.B_5cd540011a200b78028471a0"	"    0.52"	"    70.68"	"2qlv"	NA
"Q04739"	""	417	"fbde2f87de8deb6b415cec842a87fdee"	"5cd540011a200b780284719c"	"SWISSMODEL"	163	416	"4rer.1.B"	-4.8070139569	0.5775219026	36.0406074524	"https://swissmodel.expasy.org/repository/uniprot/Q04739.pdb?provider=swissmodel&from=163&to=416&template=4rer.1.B&provider=swissmodel"	"163_416_4rer.1.B_5cd540011a200b780284719c"	"    0.37"	"    36.04"	"4rer"	NA
"Q12303"	""	508	"b31a7117ae5554388f8efe81089aa0a2"	"5cd67c87732c1e7bc874ad80"	"SWISSMODEL"	51	408	"3fv3.1.A"	-3.4505355607	0.6509969955	35.628742218	"https://swissmodel.expasy.org/repository/uniprot/Q12303.pdb?provider=swissmodel&from=51&to=408&template=3fv3.1.A&provider=swissmodel"	"51_408_3fv3.1.A_5cd67c87732c1e7bc874ad80"	"    0.38"	"    35.63"	"3fv3"	NA
"P53746"	""	719	"26a8b95d84a4e36d2839150ff42843e7"	"5cd84f693b85d12fac8cdc9b"	"SWISSMODEL"	426	717	"5o0x.1.A"	-4.0787043836	0.6121982547	18.9922485352	"https://swissmodel.expasy.org/repository/uniprot/P53746.pdb?provider=swissmodel&from=426&to=717&template=5o0x.1.A&provider=swissmodel"	"426_717_5o0x.1.A_5cd84f693b85d12fac8cdc9b"	"    0.29"	"    18.99"	"5o0x"	NA
"P0CH64"	""	225	"45bd927442612f261b231cd879cc56b5"	"5cd6cf649ffd12de53917e3f"	"SWISSMODEL"	1	224	"6dk9.1.A"	-0.1370537016	0.7690472825	100	"https://swissmodel.expasy.org/repository/uniprot/P0CH64.pdb?provider=swissmodel&from=1&to=224&template=6dk9.1.A&provider=swissmodel"	"1_224_6dk9.1.A_5cd6cf649ffd12de53917e3f"	"    0.61"	"    100.00"	"6dk9"	NA
"Q12361"	""	961	"274eaddb52d4b6232f04203efeca71b7"	"5b66689908cc8fe422538d8c"	"SWISSMODEL"	43	278	"5zbh.1.A"	-4.4283346582	0.5965276947	13.8095235825	"https://swissmodel.expasy.org/repository/uniprot/Q12361.pdb?provider=swissmodel&from=43&to=278&template=5zbh.1.A&provider=swissmodel"	"43_278_5zbh.1.A_5b66689908cc8fe422538d8c"	"    0.27"	"    13.81"	"5zbh"	NA
"P47002"	""	699	"8580925a85c3933bd88a5596f126a672"	"5a4fde16afa35853ad865e9f"	"SWISSMODEL"	529	685	"3ou0.1.A"	-4.990739386	0.5862536981	18.8976383209	"https://swissmodel.expasy.org/repository/uniprot/P47002.pdb?provider=swissmodel&from=529&to=685&template=3ou0.1.A&provider=swissmodel"	"529_685_3ou0.1.A_5a4fde16afa35853ad865e9f"	"    0.30"	"    18.90"	"3ou0"	NA
"P15367"	""	167	"2485c74a88b7e7525e0860f92648bdea"	"5a5c4ba278ed5812eceb79e8"	"SWISSMODEL"	37	138	"4n31.1.A"	-3.8022418626	0.5998378356	23.1578941345	"https://swissmodel.expasy.org/repository/uniprot/P15367.pdb?provider=swissmodel&from=37&to=138&template=4n31.1.A&provider=swissmodel"	"37_138_4n31.1.A_5a5c4ba278ed5812eceb79e8"	"    0.32"	"    23.16"	"4n31"	NA
"P33750"	""	489	"ba45ec09b9f4508cb35cadbb040983ab"	"5cd63e7fd60c59a856777c85"	"SWISSMODEL"	1	465	"5wlc.26.A"	-2.266265091	0.6993152777	100	"https://swissmodel.expasy.org/repository/uniprot/P33750.pdb?provider=swissmodel&from=1&to=465&template=5wlc.26.A&provider=swissmodel"	"1_465_5wlc.26.A_5cd63e7fd60c59a856777c85"	"    0.61"	"    100.00"	"5wlc"	NA
"Q12311"	""	748	"1f50f8b0557fe2d4edad95a913ac7405"	"5cd883cda03a1b0b209243d6"	"SWISSMODEL"	194	297	"5hvq.1.B"	-3.2033827756	0.626381502	18.3908042908	"https://swissmodel.expasy.org/repository/uniprot/Q12311.pdb?provider=swissmodel&from=194&to=297&template=5hvq.1.B&provider=swissmodel"	"194_297_5hvq.1.B_5cd883cda03a1b0b209243d6"	"    0.29"	"    18.39"	"5hvq"	NA
"Q12311"	""	748	"1f50f8b0557fe2d4edad95a913ac7405"	"5cd883cda03a1b0b209243d2"	"SWISSMODEL"	266	440	"5erc.1.A"	-3.6141881245	0.6210653777	50.2890167236	"https://swissmodel.expasy.org/repository/uniprot/Q12311.pdb?provider=swissmodel&from=266&to=440&template=5erc.1.A&provider=swissmodel"	"266_440_5erc.1.A_5cd883cda03a1b0b209243d2"	"    0.48"	"    50.29"	"5erc"	NA
"P32317"	""	509	"3cfc276f793880f32c7618eca639c074"	"5b3d72993b85d12ede3253e6"	"SWISSMODEL"	115	283	"5dyg.1.A"	-4.6523174816	0.5697549986	21.4765110016	"https://swissmodel.expasy.org/repository/uniprot/P32317.pdb?provider=swissmodel&from=115&to=283&template=5dyg.1.A&provider=swissmodel"	"115_283_5dyg.1.A_5b3d72993b85d12ede3253e6"	"    0.31"	"    21.48"	"5dyg"	NA
"P40956"	""	396	"8f49e7396bd83833baff52c6fb7b88e6"	"5cd4f00908cc8f4cec4b2ddd"	"SWISSMODEL"	190	234	"2bwe.1.A"	0.0545482498	0.7914353873	37.7777786255	"https://swissmodel.expasy.org/repository/uniprot/P40956.pdb?provider=swissmodel&from=190&to=234&template=2bwe.1.A&provider=swissmodel"	"190_234_2bwe.1.A_5cd4f00908cc8f4cec4b2ddd"	"    0.38"	"    37.78"	"2bwe"	NA
"P40956"	""	396	"8f49e7396bd83833baff52c6fb7b88e6"	"5cd4f00908cc8f4cec4b2dd9"	"SWISSMODEL"	11	125	"5nzs.1.L"	-4.2415148002	0.5641872821	22.8813552856	"https://swissmodel.expasy.org/repository/uniprot/P40956.pdb?provider=swissmodel&from=11&to=125&template=5nzs.1.L&provider=swissmodel"	"11_125_5nzs.1.L_5cd4f00908cc8f4cec4b2dd9"	"    0.33"	"    22.88"	"5nzs"	NA
"P40956"	""	396	"8f49e7396bd83833baff52c6fb7b88e6"	"5cd4f00908cc8f4cec4b2dd5"	"SWISSMODEL"	12	137	"2iqj.1.A"	-1.894066478	0.6857606624	34.4537811279	"https://swissmodel.expasy.org/repository/uniprot/P40956.pdb?provider=swissmodel&from=12&to=137&template=2iqj.1.A&provider=swissmodel"	"12_137_2iqj.1.A_5cd4f00908cc8f4cec4b2dd5"	"    0.38"	"    34.45"	"2iqj"	NA
"P16892"	""	353	"6ef9f70594846a0d6f1994a96d36bb0c"	"5cdd3a87732c1e3762db8b21"	"SWISSMODEL"	1	353	"2b9h.1.A"	-1.088835959	0.7376091996	99.4334259033	"https://swissmodel.expasy.org/repository/uniprot/P16892.pdb?provider=swissmodel&from=1&to=353&template=2b9h.1.A&provider=swissmodel"	"1_353_2b9h.1.A_5cdd3a87732c1e3762db8b21"	"    0.61"	"    99.43"	"2b9h"	NA
"Q08486"	""	104	"69dc8562715d70758efdc4d857339476"	"5cda23193b85d10065e2958a"	"SWISSMODEL"	69	102	"3bcy.1.A"	-1.2947317438	0.6243090841	32.3529396057	"https://swissmodel.expasy.org/repository/uniprot/Q08486.pdb?provider=swissmodel&from=69&to=102&template=3bcy.1.A&provider=swissmodel"	"69_102_3bcy.1.A_5cda23193b85d10065e2958a"	"    0.37"	"    32.35"	"3bcy"	NA
"P43601"	""	500	"2803acae402cd76e5286580f3cddfaa5"	"5cd6657c8fd6f923c7d53546"	"SWISSMODEL"	5	324	"5i2t.1.A"	-4.2599673786	0.6160449102	12.745098114	"https://swissmodel.expasy.org/repository/uniprot/P43601.pdb?provider=swissmodel&from=5&to=324&template=5i2t.1.A&provider=swissmodel"	"5_324_5i2t.1.A_5cd6657c8fd6f923c7d53546"	"    0.27"	"    12.75"	"5i2t"	NA
"P47147"	""	688	"190140ba3d941572108b75c95aa6ac71"	"5cd81e0408cc8f4bc74d74bc"	"SWISSMODEL"	4	643	"2yf0.1.A"	-4.9277774432	0.5885519363	36.7999992371	"https://swissmodel.expasy.org/repository/uniprot/P47147.pdb?provider=swissmodel&from=4&to=643&template=2yf0.1.A&provider=swissmodel"	"4_643_2yf0.1.A_5cd81e0408cc8f4bc74d74bc"	"    0.38"	"    36.80"	"2yf0"	NA
"P32368"	""	623	"ed0ef22e7832f5ff02ff89e5050883f2"	"5cd798101a200b229f28253a"	"SWISSMODEL"	1	456	"3lwt.1.A"	-1.1776321272	0.7339434054	100	"https://swissmodel.expasy.org/repository/uniprot/P32368.pdb?provider=swissmodel&from=1&to=456&template=3lwt.1.A&provider=swissmodel"	"1_456_3lwt.1.A_5cd798101a200b229f28253a"	"    0.61"	"    100.00"	"3lwt"	NA
"P0CX63"	"P0CX63-1"	1770	"7c28601241a8cdf69019166021941308"	"5903a3c3d823cca571738d80"	"SWISSMODEL"	632	833	"3oyi.1.A"	-4.5306579856	0.5973401824	31.1111106873	"https://swissmodel.expasy.org/repository/uniprot/P0CX63.pdb?provider=swissmodel&from=632&to=833&template=3oyi.1.A&provider=swissmodel"	"632_833_3oyi.1.A_5903a3c3d823cca571738d80"	"    0.36"	"    31.11"	"3oyi"	NA
"P32460"	""	244	"e31a8a2e6715fea1ac1f6292418bc30b"	"5cd673763b85d1b07a5d245f"	"SWISSMODEL"	2	243	"3qvk.1.A"	-4.1790763529	0.6158810403	20.5479450226	"https://swissmodel.expasy.org/repository/uniprot/P32460.pdb?provider=swissmodel&from=2&to=243&template=3qvk.1.A&provider=swissmodel"	"2_243_3qvk.1.A_5cd673763b85d1b07a5d245f"	"    0.31"	"    20.55"	"3qvk"	NA
"P40541"	""	1150	"183747ff0a794fb18152aaf8e4b36174"	"5cda950d9ffd12628265c04d"	"SWISSMODEL"	135	1061	"6h8q.1.A"	-3.4321026709	0.6431470904	100	"https://swissmodel.expasy.org/repository/uniprot/P40541.pdb?provider=swissmodel&from=135&to=1061&template=6h8q.1.A&provider=swissmodel"	"135_1061_6h8q.1.A_5cda950d9ffd12628265c04d"	"    0.60"	"    100.00"	"6h8q"	NA
"Q06640"	""	478	"dd17d070f7336aedf31f5a64e595c637"	"5b634c1f8fd6f95e36a86e6f"	"SWISSMODEL"	198	470	"1yrg.1.A"	-4.7591731919	0.58008584	18.1467189789	"https://swissmodel.expasy.org/repository/uniprot/Q06640.pdb?provider=swissmodel&from=198&to=470&template=1yrg.1.A&provider=swissmodel"	"198_470_1yrg.1.A_5b634c1f8fd6f95e36a86e6f"	"    0.27"	"    18.15"	"1yrg"	NA
"P00560"	""	416	"cffc69a9dc5fab34d6068edd98382abc"	"5cd53663a03a1b75a0d10e9e"	"SWISSMODEL"	2	416	"1qpg.1.A"	0.017947112	0.7759969139	99.7590332031	"https://swissmodel.expasy.org/repository/uniprot/P00560.pdb?provider=swissmodel&from=2&to=416&template=1qpg.1.A&provider=swissmodel"	"2_416_1qpg.1.A_5cd53663a03a1b75a0d10e9e"	"    0.59"	"    99.76"	"1qpg"	NA
"P46964"	""	130	"d38732a7c993bcda1c20d036b418a83b"	"5cd92060732c1e5cb883330f"	"SWISSMODEL"	21	130	"6ezn.1.B"	-3.3170848081	0.6204799103	100	"https://swissmodel.expasy.org/repository/uniprot/P46964.pdb?provider=swissmodel&from=21&to=130&template=6ezn.1.B&provider=swissmodel"	"21_130_6ezn.1.B_5cd92060732c1e5cb883330f"	"    0.60"	"    100.00"	"6ezn"	NA
"P40019"	""	153	"5c1d97ef5042c236f1b3f090f324399e"	"5cd876438fd6f94dbdc4b308"	"SWISSMODEL"	64	125	"2jss.1.B"	-8.6835669133	0.1962118308	100	"https://swissmodel.expasy.org/repository/uniprot/P40019.pdb?provider=swissmodel&from=64&to=125&template=2jss.1.B&provider=swissmodel"	"64_125_2jss.1.B_5cd876438fd6f94dbdc4b308"	"    0.60"	"    100.00"	"2jss"	NA
