	OrthologID	Metschnikowia_dekortum	Saccharomyces_cerevisiae
1640	OG0001640	genemark-dek_s23-processed-gene-1.137-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.137&CDS=1-1482	YIL104C
1641	OG0001641	snap_masked-dek_s23-processed-gene-1.36-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.36&CDS=1-1305	YIL103W
1642	OG0001642	snap_masked-dek_s23-processed-gene-1.68-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.68&CDS=1-2280	YNL041C
1643	OG0001643	genemark-dek_s23-processed-gene-1.139-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.139&CDS=1-1482	YIL101C
1644	OG0001644	genemark-dek_s23-processed-gene-1.140-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.140&CDS=1-1275	YDL066W
1645	OG0001645	snap_masked-dek_s23-processed-gene-1.71-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.71&CDS=1-249	YLR395C
1646	OG0001646	snap_masked-dek_s23-processed-gene-1.38-mRNA-1_1&gene=snap_masked-dek_s23-processed-gene-1.38&CDS=1-183	YDL067C
1647	OG0001647	genemark-dek_s23-processed-gene-1.142-mRNA-1_1&gene=genemark-dek_s23-processed-gene-1.142&CDS=1-2106	YLR396C
1648	OG0001648	augustus_masked-dek_s23-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-dek_s23-processed-gene-1.173&CDS=1-906	YGR096W
1649	OG0001649	genemark-dek_s25-processed-gene-0.13-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.13&CDS=1-1581	YDR299W
1650	OG0001650	genemark-dek_s25-processed-gene-0.14-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.14&CDS=1-480	YLR074C
1651	OG0001651	genemark-dek_s25-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.0&CDS=1-660	YLR075W
1652	OG0001652	genemark-dek_s25-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.1&CDS=1-753	YFL045C
1653	OG0001653	genemark-dek_s25-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.2&CDS=1-597	YFL046W
1654	OG0001654	genemark-dek_s25-processed-gene-0.3-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.3&CDS=1-663	YLR078C
1655	OG0001655	genemark-dek_s25-processed-gene-0.9-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.9&CDS=1-2325	YPR091C
1656	OG0001656	augustus_masked-dek_s25-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-0.41&CDS=1-7155	YBR136W
1657	OG0001657	genemark-dek_s25-processed-gene-0.20-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.20&CDS=1-864	YDR284C
1658	OG0001658	genemark-dek_s25-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.10&CDS=1-1923	YMR004W
1659	OG0001659	genemark-dek_s25-processed-gene-0.11-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.11&CDS=1-1047	YOR043W
1660	OG0001660	genemark-dek_s25-processed-gene-0.12-mRNA-1_1&gene=genemark-dek_s25-processed-gene-0.12&CDS=1-1035	YJR068W
1661	OG0001661	snap_masked-dek_s25-processed-gene-1.2-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.2&CDS=1-2913	YBR276C
1662	OG0001662	genemark-dek_s25-processed-gene-1.38-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.38&CDS=1-2175	YAL043C
1663	OG0001663	genemark-dek_s25-processed-gene-1.41-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.41&CDS=1-255	YJL062W-A
1664	OG0001664	genemark-dek_s25-processed-gene-1.54-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.54&CDS=1-1608	YJL069C
1665	OG0001665	genemark-dek_s25-processed-gene-1.55-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.55&CDS=1-2967	YKL205W
1666	OG0001666	snap_masked-dek_s25-processed-gene-1.5-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.5&CDS=1-384	YDR043C
1667	OG0001667	augustus_masked-dek_s25-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-1.72&CDS=1-480	YPL059W
1668	OG0001668	augustus_masked-dek_s25-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-1.73&CDS=1-4749	YKL014C
1669	OG0001669	snap_masked-dek_s25-processed-gene-1.8-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.8&CDS=1-294	YIL156W-B
1670	OG0001670	genemark-dek_s25-processed-gene-1.46-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.46&CDS=1-2205	YKL017C
1671	OG0001671	genemark-dek_s25-processed-gene-1.47-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.47&CDS=1-3426	YKL015W
1672	OG0001672	genemark-dek_s25-processed-gene-1.61-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.61&CDS=1-990	YPR004C
1673	OG0001673	maker-dek_s25-augustus-gene-1.34-mRNA-1_1&gene=maker-dek_s25-augustus-gene-1.34&CDS=1-2493	YEL056W
1674	OG0001674	genemark-dek_s25-processed-gene-1.50-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.50&CDS=1-690	YDR071C
1675	OG0001675	genemark-dek_s25-processed-gene-1.62-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.62&CDS=1-939	YFR004W
1676	OG0001676	augustus_masked-dek_s25-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-1.77&CDS=1-2724	YER136W
1677	OG0001677	genemark-dek_s25-processed-gene-1.63-mRNA-1_1&gene=genemark-dek_s25-processed-gene-1.63&CDS=1-1188	YER143W
1678	OG0001678	snap_masked-dek_s25-processed-gene-1.30-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.30&CDS=1-294	YER146W
1679	OG0001679	snap_masked-dek_s25-processed-gene-1.31-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.31&CDS=1-900	YLR006C
1680	OG0001680	snap_masked-dek_s25-processed-gene-1.32-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-1.32&CDS=1-942	YDR068W
1681	OG0001681	augustus_masked-dek_s25-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-1.78&CDS=1-2730	YDR062W
1682	OG0001682	genemark-dek_s25-processed-gene-2.44-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.44&CDS=1-921	YKR026C
1683	OG0001683	genemark-dek_s25-processed-gene-2.42-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.42&CDS=1-951	YMR116C
1684	OG0001684	snap_masked-dek_s25-processed-gene-2.5-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-2.5&CDS=1-360	YMR112C
1685	OG0001685	genemark-dek_s25-processed-gene-2.46-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.46&CDS=1-663	YDR013W
1686	OG0001686	genemark-dek_s25-processed-gene-2.43-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.43&CDS=1-1050	YOL009C
1687	OG0001687	snap_masked-dek_s25-processed-gene-2.11-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-2.11&CDS=1-3180	YKL197C
1688	OG0001688	snap_masked-dek_s25-processed-gene-2.25-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-2.25&CDS=1-495	YDR231C
1689	OG0001689	augustus_masked-dek_s25-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-2.77&CDS=1-1443	YJR072C
1690	OG0001690	genemark-dek_s25-processed-gene-2.50-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.50&CDS=1-783	YLR285W
1691	OG0001691	maker-dek_s25-augustus-gene-2.3-mRNA-1_1&gene=maker-dek_s25-augustus-gene-2.3&CDS=1-984	YDR075W
1692	OG0001692	genemark-dek_s25-processed-gene-2.64-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.64&CDS=1-2583	YBL023C
1693	OG0001693	snap_masked-dek_s25-processed-gene-2.19-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-2.19&CDS=1-981	YCL027W
1694	OG0001694	snap_masked-dek_s25-processed-gene-2.32-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-2.32&CDS=1-3390	YLR187W
1695	OG0001695	genemark-dek_s25-processed-gene-2.66-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.66&CDS=1-1422	YDL238C
1696	OG0001696	genemark-dek_s25-processed-gene-2.67-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.67&CDS=1-606	YLR390W-A
1697	OG0001697	genemark-dek_s25-processed-gene-2.55-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.55&CDS=1-1137	YDR202C
1698	OG0001698	genemark-dek_s25-processed-gene-2.56-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.56&CDS=1-3138	YLR389C
1699	OG0001699	genemark-dek_s25-processed-gene-2.57-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.57&CDS=1-1851	YGL095C
1700	OG0001700	genemark-dek_s25-processed-gene-2.70-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.70&CDS=1-1119	YPL181W
1701	OG0001701	genemark-dek_s25-processed-gene-2.58-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.58&CDS=1-1665	YML086C
1702	OG0001702	genemark-dek_s25-processed-gene-2.71-mRNA-1_1&gene=genemark-dek_s25-processed-gene-2.71&CDS=1-2739	YML093W
1703	OG0001703	genemark-dek_s25-processed-gene-3.35-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.35&CDS=1-309	YDR031W
1704	OG0001704	genemark-dek_s25-processed-gene-3.34-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.34&CDS=1-1446	YHR135C
1705	OG0001705	genemark-dek_s25-processed-gene-3.38-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.38&CDS=1-720	YER100W
1706	OG0001706	genemark-dek_s25-processed-gene-3.39-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.39&CDS=1-1629	YBL061C
1707	OG0001707	genemark-dek_s25-processed-gene-3.45-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.45&CDS=1-2595	YGL216W
1708	OG0001708	snap_masked-dek_s25-processed-gene-3.16-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-3.16&CDS=1-1044	YOR007C
1709	OG0001709	snap_masked-dek_s25-processed-gene-3.17-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-3.17&CDS=1-3669	YML002W
1710	OG0001710	genemark-dek_s25-processed-gene-3.48-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.48&CDS=1-924	YOR006C
1711	OG0001711	genemark-dek_s25-processed-gene-3.49-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.49&CDS=1-1329	YJL026W
1712	OG0001712	genemark-dek_s25-processed-gene-3.43-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.43&CDS=1-1278	YDR393W
1713	OG0001713	genemark-dek_s25-processed-gene-3.52-mRNA-1_1&gene=genemark-dek_s25-processed-gene-3.52&CDS=1-1236	YLR449W
1714	OG0001714	maker-dek_s25-augustus-gene-3.32-mRNA-1_1&gene=maker-dek_s25-augustus-gene-3.32&CDS=1-465	YML073C
1715	OG0001715	snap_masked-dek_s25-processed-gene-3.26-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-3.26&CDS=1-4266	YML072C
1716	OG0001716	genemark-dek_s25-processed-gene-4.0-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.0&CDS=1-510	YML064C
1717	OG0001717	genemark-dek_s25-processed-gene-4.2-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.2&CDS=1-2322	YML065W
1718	OG0001718	genemark-dek_s25-processed-gene-4.7-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.7&CDS=1-1605	YNL011C
1719	OG0001719	genemark-dek_s25-processed-gene-4.14-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.14&CDS=1-828	YKL183W
1720	OG0001720	genemark-dek_s25-processed-gene-4.15-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.15&CDS=1-1707	YLR433C
1721	OG0001721	genemark-dek_s25-processed-gene-4.17-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.17&CDS=1-1329	YKL184W
1722	OG0001722	genemark-dek_s25-processed-gene-4.18-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.18&CDS=1-3069	YNR006W
1723	OG0001723	genemark-dek_s25-processed-gene-4.19-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.19&CDS=1-717	YMR200W
1724	OG0001724	genemark-dek_s25-processed-gene-4.22-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.22&CDS=1-648	YMR202W
1725	OG0001725	genemark-dek_s25-processed-gene-4.9-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.9&CDS=1-912	YNR007C
1726	OG0001726	genemark-dek_s25-processed-gene-4.10-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.10&CDS=1-2088	YNR008W
1727	OG0001727	genemark-dek_s25-processed-gene-4.12-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.12&CDS=1-1950	YLR429W
1728	OG0001728	genemark-dek_s25-processed-gene-4.26-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.26&CDS=1-4746	YPL242C
1729	OG0001729	genemark-dek_s25-processed-gene-4.27-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.27&CDS=1-612	YJR050W
1730	OG0001730	genemark-dek_s25-processed-gene-4.28-mRNA-1_1&gene=genemark-dek_s25-processed-gene-4.28&CDS=1-696	YPL233W
1731	OG0001731	genemark-dek_s25-processed-gene-5.30-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.30&CDS=1-480	YPL234C
1732	OG0001732	augustus_masked-dek_s25-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-5.58&CDS=1-1392	YPL235W
1733	OG0001733	genemark-dek_s25-processed-gene-5.41-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.41&CDS=1-1854	YDR380W
1734	OG0001734	snap_masked-dek_s25-processed-gene-5.16-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-5.16&CDS=1-2832	YMR205C
1735	OG0001735	genemark-dek_s25-processed-gene-5.32-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.32&CDS=1-1155	YMR203W
1736	OG0001736	genemark-dek_s25-processed-gene-5.44-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.44&CDS=1-813	YPL246C
1737	OG0001737	genemark-dek_s25-processed-gene-5.33-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.33&CDS=1-1062	YPL236C
1738	OG0001738	genemark-dek_s25-processed-gene-5.45-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.45&CDS=1-825	YPL237W
1739	OG0001739	genemark-dek_s25-processed-gene-5.46-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.46&CDS=1-618	YPL239W
1740	OG0001740	genemark-dek_s25-processed-gene-5.35-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.35&CDS=1-3159	YMR185W
1741	OG0001741	genemark-dek_s25-processed-gene-5.48-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.48&CDS=1-2106	YMR186W
1742	OG0001742	maker-dek_s25-snap-gene-5.0-mRNA-1_1&gene=maker-dek_s25-snap-gene-5.0&CDS=1-1020	YMR201C
1743	OG0001743	genemark-dek_s25-processed-gene-5.50-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.50&CDS=1-879	YPR069C
1744	OG0001744	genemark-dek_s25-processed-gene-5.51-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.51&CDS=1-2337	YLR304C
1745	OG0001745	genemark-dek_s25-processed-gene-5.39-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.39&CDS=1-1725	YHR166C
1746	OG0001746	genemark-dek_s25-processed-gene-5.53-mRNA-1_1&gene=genemark-dek_s25-processed-gene-5.53&CDS=1-1692	YMR296C
1747	OG0001747	genemark-dek_s25-processed-gene-6.69-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.69&CDS=1-7335	YHR165C
1748	OG0001748	genemark-dek_s25-processed-gene-6.106-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.106&CDS=1-2223	YHL023C
1749	OG0001749	genemark-dek_s25-processed-gene-6.107-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.107&CDS=1-825	YLR284C
1750	OG0001750	genemark-dek_s25-processed-gene-6.111-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.111&CDS=1-1812	YJL085W
1751	OG0001751	augustus_masked-dek_s25-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-6.4&CDS=1-3132	YJL087C
1752	OG0001752	genemark-dek_s25-processed-gene-6.75-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.75&CDS=1-1302	YDR531W
1753	OG0001753	genemark-dek_s25-processed-gene-6.76-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.76&CDS=1-1356	YPL112C
1754	OG0001754	genemark-dek_s25-processed-gene-6.112-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.112&CDS=1-1173	YGR012W
1755	OG0001755	genemark-dek_s25-processed-gene-6.79-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.79&CDS=1-684	YEL038W
1756	OG0001756	genemark-dek_s25-processed-gene-6.115-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.115&CDS=1-1050	YEL037C
1757	OG0001757	maker-dek_s25-augustus-gene-6.220-mRNA-1_1&gene=maker-dek_s25-augustus-gene-6.220&CDS=1-5442	YFL008W
1758	OG0001758	genemark-dek_s25-processed-gene-6.116-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.116&CDS=1-2868	YLR336C
1759	OG0001759	genemark-dek_s25-processed-gene-6.83-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.83&CDS=1-1077	YGR028W
1760	OG0001760	genemark-dek_s25-processed-gene-6.84-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.84&CDS=1-2577	YMR302C
1761	OG0001761	genemark-dek_s25-processed-gene-6.117-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.117&CDS=1-1701	YPL020C
1762	OG0001762	genemark-dek_s25-processed-gene-6.87-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.87&CDS=1-1476	YPL011C
1763	OG0001763	genemark-dek_s25-processed-gene-6.89-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.89&CDS=1-912	YLR308W
1764	OG0001764	genemark-dek_s25-processed-gene-6.90-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.90&CDS=1-600	YDR032C
1765	OG0001765	genemark-dek_s25-processed-gene-6.120-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.120&CDS=1-729	YBR035C
1766	OG0001766	genemark-dek_s25-processed-gene-6.122-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.122&CDS=1-588	YCR003W
1767	OG0001767	genemark-dek_s25-processed-gene-6.91-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.91&CDS=1-1092	YCR002C
1768	OG0001768	genemark-dek_s25-processed-gene-6.92-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.92&CDS=1-318	YBL001C
1769	OG0001769	genemark-dek_s25-processed-gene-6.93-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.93&CDS=1-1434	YLR004C
1770	OG0001770	genemark-dek_s25-processed-gene-6.94-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.94&CDS=1-915	YER053C
1771	OG0001771	genemark-dek_s25-processed-gene-6.124-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.124&CDS=1-1191	YIL044C
1772	OG0001772	genemark-dek_s25-processed-gene-6.96-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.96&CDS=1-1056	YHL009C
1773	OG0001773	genemark-dek_s25-processed-gene-6.97-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.97&CDS=1-1731	YOR027W
1774	OG0001774	genemark-dek_s25-processed-gene-6.98-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.98&CDS=1-2283	YDL040C
1775	OG0001775	snap_masked-dek_s25-processed-gene-6.176-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-6.176&CDS=1-1533	YNL294C
1776	OG0001776	genemark-dek_s25-processed-gene-6.128-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.128&CDS=1-1749	YOL066C
1777	OG0001777	genemark-dek_s25-processed-gene-6.129-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.129&CDS=1-1527	YDL030W
1778	OG0001778	snap_masked-dek_s25-processed-gene-6.177-mRNA-1_1&gene=snap_masked-dek_s25-processed-gene-6.177&CDS=1-1275	YOL065C
1779	OG0001779	maker-dek_s25-augustus-gene-6.223-mRNA-1_1&gene=maker-dek_s25-augustus-gene-6.223&CDS=1-2394	YBR236C
1780	OG0001780	genemark-dek_s25-processed-gene-6.132-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.132&CDS=1-1524	YMR283C
1781	OG0001781	genemark-dek_s25-processed-gene-6.134-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.134&CDS=1-519	YAL033W
1782	OG0001782	genemark-dek_s25-processed-gene-6.135-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.135&CDS=1-2925	YGR047C
1783	OG0001783	genemark-dek_s25-processed-gene-6.103-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.103&CDS=1-4281	YOR336W
1784	OG0001784	genemark-dek_s25-processed-gene-6.104-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.104&CDS=1-1818	YGL125W
1785	OG0001785	genemark-dek_s25-processed-gene-6.136-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.136&CDS=1-876	YPL196W
1786	OG0001786	genemark-dek_s25-processed-gene-6.137-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.137&CDS=1-708	YIR030C
1787	OG0001787	genemark-dek_s25-processed-gene-6.138-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.138&CDS=1-312	YGL080W
1788	OG0001788	genemark-dek_s25-processed-gene-6.140-mRNA-1_1&gene=genemark-dek_s25-processed-gene-6.140&CDS=1-1908	YPL093W
1789	OG0001789	augustus_masked-dek_s25-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-dek_s25-processed-gene-6.67&CDS=1-2310	YPL050C
1790	OG0001790	augustus_masked-dek_s26-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-0.104&CDS=1-1128	YFL039C
1791	OG0001791	maker-dek_s26-snap-gene-0.39-mRNA-1_1&gene=maker-dek_s26-snap-gene-0.39&CDS=1-396	YOR327C
1792	OG0001792	genemark-dek_s26-processed-gene-0.23-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.23&CDS=1-507	YAL044C
1793	OG0001793	genemark-dek_s26-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.24&CDS=1-1950	YDL206W
1794	OG0001794	genemark-dek_s26-processed-gene-0.2-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.2&CDS=1-1731	YGL084C
1795	OG0001795	genemark-dek_s26-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.26&CDS=1-411	YGL087C
1796	OG0001796	genemark-dek_s26-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.4&CDS=1-2001	YGL086W
1797	OG0001797	genemark-dek_s26-processed-gene-0.27-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.27&CDS=1-2598	YBR055C
1798	OG0001798	genemark-dek_s26-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.5&CDS=1-1506	YMR131C
1799	OG0001799	genemark-dek_s26-processed-gene-0.6-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.6&CDS=1-1878	YPL263C
1800	OG0001800	genemark-dek_s26-processed-gene-0.28-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.28&CDS=1-975	YPL266W
1801	OG0001801	genemark-dek_s26-processed-gene-0.10-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.10&CDS=1-1596	YEL058W
1802	OG0001802	genemark-dek_s26-processed-gene-0.31-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.31&CDS=1-696	YGL085W
1803	OG0001803	genemark-dek_s26-processed-gene-0.14-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.14&CDS=1-1362	YBR130C
1804	OG0001804	maker-dek_s26-augustus-gene-0.78-mRNA-1_1&gene=maker-dek_s26-augustus-gene-0.78&CDS=1-1983	YFL030W
1805	OG0001805	genemark-dek_s26-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.17&CDS=1-4236	YNL088W
1806	OG0001806	genemark-dek_s26-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.36&CDS=1-1056	YOR042W
1807	OG0001807	genemark-dek_s26-processed-gene-0.38-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.38&CDS=1-1146	YDR502C
1808	OG0001808	genemark-dek_s26-processed-gene-0.20-mRNA-1_1&gene=genemark-dek_s26-processed-gene-0.20&CDS=1-3267	YCL061C
1809	OG0001809	genemark-dek_s26-processed-gene-1.4-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.4&CDS=1-1119	YCL059C
1810	OG0001810	augustus_masked-dek_s26-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-dek_s26-processed-gene-1.98&CDS=1-2658	YIR008C
1811	OG0001811	genemark-dek_s26-processed-gene-1.5-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.5&CDS=1-2742	YIR007W
1812	OG0001812	genemark-dek_s26-processed-gene-1.6-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.6&CDS=1-3303	YER013W
1813	OG0001813	genemark-dek_s26-processed-gene-1.16-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.16&CDS=1-585	YER012W
1814	OG0001814	snap_masked-dek_s26-processed-gene-1.69-mRNA-1_1&gene=snap_masked-dek_s26-processed-gene-1.69&CDS=1-699	YBR256C
1815	OG0001815	genemark-dek_s26-processed-gene-1.19-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.19&CDS=1-1251	YIL160C
1816	OG0001816	genemark-dek_s26-processed-gene-1.22-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.22&CDS=1-2784	YNL313C
1817	OG0001817	genemark-dek_s26-processed-gene-1.8-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.8&CDS=1-333	YDR045C
1818	OG0001818	genemark-dek_s26-processed-gene-1.26-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.26&CDS=1-693	YBR070C
1819	OG0001819	snap_masked-dek_s26-processed-gene-1.81-mRNA-1_1&gene=snap_masked-dek_s26-processed-gene-1.81&CDS=1-4095	YMR259C
1820	OG0001820	genemark-dek_s26-processed-gene-1.9-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.9&CDS=1-2760	YBR073W
1821	OG0001821	genemark-dek_s26-processed-gene-1.30-mRNA-1_1&gene=genemark-dek_s26-processed-gene-1.30&CDS=1-1809	YDR049W
