	OrthologID	Candida_intermedia	Saccharomyces_cerevisiae
1492	OG0001492	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.84&CDS=1-1635	YAR018C
1493	OG0001493	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.101&CDS=1-912	YAR015W
1494	OG0001494	-processed-gene-0.85-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.85&CDS=1-597	YKL001C
1495	OG0001495	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.104&CDS=1-6453	YJL207C
1496	OG0001496	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.105&CDS=1-1533	YDR539W
1497	OG0001497	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.86&CDS=1-795	YDR538W
1498	OG0001498	-augustus-gene-0.82-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-augustus-gene-0.82&CDS=1-2868	YDR026C
1499	OG0001499	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.87&CDS=1-2886	YDR166C
1500	OG0001500	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.8&CDS=1-252	YLR038C
1501	OG0001501	-processed-gene-0.109-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.109&CDS=1-690	YMR132C
1502	OG0001502	-processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.12&CDS=1-6690	YCR093W
1503	OG0001503	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.94&CDS=1-657	YDR177W
1504	OG0001504	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.112&CDS=1-519	YBL090W
1505	OG0001505	-processed-gene-0.113-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.113&CDS=1-2532	YIL143C
1506	OG0001506	-processed-gene-0.114-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.114&CDS=1-888	YJR096W
1507	OG0001507	-snap-gene-0.80-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-snap-gene-0.80&CDS=1-1017	YKR092C
1508	OG0001508	-processed-gene-0.37-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.37&CDS=1-237	YCR020C-A
1509	OG0001509	-processed-gene-0.119-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.119&CDS=1-522	YCR046C
1510	OG0001510	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.120&CDS=1-807	YCR047C
1511	OG0001511	-processed-gene-1.51-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.51&CDS=1-699	YNR020C
1512	OG0001512	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.47&CDS=1-621	YCR051W
1513	OG0001513	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.48&CDS=1-1119	YNR021W
1514	OG0001514	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.97&CDS=1-1113	YHR040W
1515	OG0001515	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.50&CDS=1-678	YOR319W
1516	OG0001516	-processed-gene-1.75-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.75&CDS=1-2217	YPR022C
1517	OG0001517	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.57&CDS=1-999	YBR046C
1518	OG0001518	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.58&CDS=1-1419	YNR023W
1519	OG0001519	-processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.60&CDS=1-756	YNL312W
1520	OG0001520	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.79&CDS=1-5154	YLR247C
1521	OG0001521	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.80&CDS=1-1509	YLR248W
1522	OG0001522	-processed-gene-1.61-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.61&CDS=1-723	YNL010W
1523	OG0001523	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.62&CDS=1-1530	YOL122C
1524	OG0001524	-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.110&CDS=1-1311	YPL203W
1525	OG0001525	-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.130&CDS=1-336	YGL070C
1526	OG0001526	-processed-gene-1.64-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.64&CDS=1-495	YGL068W
1527	OG0001527	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.66&CDS=1-717	YKL206C
1528	OG0001528	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.87&CDS=1-1572	YDL178W
1529	OG0001529	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.88&CDS=1-627	YDL177C
1530	OG0001530	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.69&CDS=1-396	YKL170W
1531	OG0001531	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.70&CDS=1-2157	YIL078W
1532	OG0001532	-processed-gene-1.23-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.23&CDS=1-2178	YOR022C
1533	OG0001533	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.89&CDS=1-618	YOR021C
1534	OG0001534	-processed-gene-1.72-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.72&CDS=1-666	YDR408C
1535	OG0001535	-processed-gene-1.93-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.93&CDS=1-1092	YOR136W
1536	OG0001536	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.94&CDS=1-1140	YDL168W
1537	OG0001537	-processed-gene-2.79-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.79&CDS=1-1029	YDR214W
1538	OG0001538	-processed-gene-2.80-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.80&CDS=1-807	YOR157C
1539	OG0001539	-processed-gene-2.77-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.77&CDS=1-3984	YDR407C
1540	OG0001540	-processed-gene-2.81-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.81&CDS=1-315	YMR244C-A
1541	OG0001541	-processed-gene-2.78-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.78&CDS=1-1134	YDR321W
1542	OG0001542	-processed-gene-2.82-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.82&CDS=1-2088	YOR317W
1543	OG0001543	-processed-gene-2.97-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.97&CDS=1-1551	YJL153C
1544	OG0001544	-processed-gene-2.21-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.21&CDS=1-1575	YMR240C
1545	OG0001545	-processed-gene-2.88-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.88&CDS=1-1266	YLR203C
1546	OG0001546	-processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.24&CDS=1-3183	YBR081C
1547	OG0001547	-processed-gene-2.25-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.25&CDS=1-441	YBR082C
1548	OG0001548	-processed-gene-2.101-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.101&CDS=1-1512	YLR197W
1549	OG0001549	-processed-gene-2.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.94&CDS=1-1113	YGR112W
1550	OG0001550	-processed-gene-2.103-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.103&CDS=1-954	YER083C
1551	OG0001551	-processed-gene-2.105-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.105&CDS=1-1308	YKL216W
1552	OG0001552	-processed-gene-2.95-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.95&CDS=1-1557	YER082C
1553	OG0001553	-processed-gene-2.106-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.106&CDS=1-942	YIR011C
1554	OG0001554	-processed-gene-2.107-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.107&CDS=1-1674	YPL260W
1555	OG0001555	-processed-gene-2.108-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.108&CDS=1-1032	YOR008C
1556	OG0001556	-processed-gene-2.38-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-2.38&CDS=1-1326	YLR455W
1557	OG0001557	-processed-gene-3.50-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.50&CDS=1-3984	YOR330C
1558	OG0001558	-processed-gene-3.51-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.51&CDS=1-1995	YKR095W-A
1559	OG0001559	-processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.53&CDS=1-4455	YBR097W
1560	OG0001560	-processed-gene-3.55-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.55&CDS=1-453	YPR062W
1561	OG0001561	-processed-gene-3.56-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.56&CDS=1-1083	YPR056W
1562	OG0001562	-processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.58&CDS=1-1140	YMR201C
1563	OG0001563	-processed-gene-3.59-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.59&CDS=1-2106	YMR186W
1564	OG0001564	-processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.84&CDS=1-2970	YMR185W
1565	OG0001565	-processed-gene-3.60-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.60&CDS=1-606	YPL239W
1566	OG0001566	-processed-gene-3.61-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.61&CDS=1-831	YPL237W
1567	OG0001567	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.86&CDS=1-1059	YPL236C
1568	OG0001568	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.63&CDS=1-825	YPL246C
1569	OG0001569	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.87&CDS=1-1152	YMR203W
1570	OG0001570	-processed-gene-3.67-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.67&CDS=1-1857	YDR380W
1571	OG0001571	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.69&CDS=1-1464	YPL235W
1572	OG0001572	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.88&CDS=1-483	YPL234C
1573	OG0001573	-processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.71&CDS=1-4731	YPL242C
1574	OG0001574	-processed-gene-3.135-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.135&CDS=1-1917	YLR429W
1575	OG0001575	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.90&CDS=1-2007	YNR008W
1576	OG0001576	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.91&CDS=1-867	YNR007C
1577	OG0001577	-processed-gene-3.73-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.73&CDS=1-909	YDL124W
1578	OG0001578	-processed-gene-3.74-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.74&CDS=1-648	YMR202W
1579	OG0001579	-processed-gene-3.77-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.77&CDS=1-663	YMR200W
1580	OG0001580	-processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.78&CDS=1-2571	YNR006W
1581	OG0001581	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.79&CDS=1-1335	YKL184W
1582	OG0001582	-augustus-gene-3.5-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-augustus-gene-3.5&CDS=1-2481	YLR433C
1583	OG0001583	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.93&CDS=1-609	YLR435W
1584	OG0001584	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.94&CDS=1-2361	YML065W
1585	OG0001585	-processed-gene-3.95-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-3.95&CDS=1-591	YML064C
1586	OG0001586	-snap-gene-4.127-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-snap-gene-4.127&CDS=1-4764	YML072C
1587	OG0001587	-processed-gene-4.21-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.21&CDS=1-1278	YDR393W
1588	OG0001588	-processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.4&CDS=1-1284	YJL026W
1589	OG0001589	-processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.7&CDS=1-1014	YOR007C
1590	OG0001590	-processed-gene-4.8-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.8&CDS=1-2475	YGL216W
1591	OG0001591	-processed-gene-4.25-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.25&CDS=1-1791	YBL061C
1592	OG0001592	-processed-gene-4.26-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.26&CDS=1-702	YER100W
1593	OG0001593	-processed-gene-4.29-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.29&CDS=1-822	YNL155W
1594	OG0001594	-processed-gene-4.10-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.10&CDS=1-924	YHR062C
1595	OG0001595	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.30&CDS=1-1020	YNL230C
1596	OG0001596	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.31&CDS=1-927	YBR176W
1597	OG0001597	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.12&CDS=1-1020	YML004C
1598	OG0001598	-processed-gene-4.14-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.14&CDS=1-1296	YCR079W
1599	OG0001599	-processed-gene-4.79-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.79&CDS=1-273	YNR037C
1600	OG0001600	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.15&CDS=1-1965	YNR038W
1601	OG0001601	-processed-gene-4.33-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.33&CDS=1-753	YPL157W
1602	OG0001602	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.17&CDS=1-807	YFR050C
1603	OG0001603	-processed-gene-4.18-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.18&CDS=1-1071	YGL248W
1604	OG0001604	-processed-gene-4.34-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.34&CDS=1-1737	YFR051C
1605	OG0001605	-processed-gene-4.66-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.66&CDS=1-1503	YDL159W
1606	OG0001606	-processed-gene-4.37-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-4.37&CDS=1-1353	YMR140W
1607	OG0001607	-processed-gene-5.96-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.96&CDS=1-1008	YDR297W
1608	OG0001608	-processed-gene-5.44-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.44&CDS=1-573	YKR068C
1609	OG0001609	-processed-gene-5.97-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.97&CDS=1-513	YOR052C
1610	OG0001610	-processed-gene-5.114-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.114&CDS=1-1263	YOR051C
1611	OG0001611	-processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.98&CDS=1-1602	YKR069W
1612	OG0001612	-processed-gene-5.99-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.99&CDS=1-1146	YKR070W
1613	OG0001613	-processed-gene-5.102-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.102&CDS=1-999	YOR042W
1614	OG0001614	-processed-gene-5.118-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.118&CDS=1-4314	YNL088W
1615	OG0001615	-processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.122&CDS=1-1143	YFL030W
1616	OG0001616	-processed-gene-5.123-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.123&CDS=1-1266	YBR130C
1617	OG0001617	-processed-gene-5.106-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.106&CDS=1-684	YGL085W
1618	OG0001618	-processed-gene-5.126-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.126&CDS=1-1587	YEL058W
1619	OG0001619	-processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.80&CDS=1-2079	YPL269W
1620	OG0001620	-processed-gene-5.109-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.109&CDS=1-966	YPL266W
1621	OG0001621	-augustus-gene-5.91-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-augustus-gene-5.91&CDS=1-3189	YPL263C
1622	OG0001622	-processed-gene-5.110-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.110&CDS=1-2502	YGL163C
1623	OG0001623	-processed-gene-5.133-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.133&CDS=1-1128	YFL039C
1624	OG0001624	-processed-gene-5.112-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.112&CDS=1-333	YOR327C
1625	OG0001625	-processed-gene-5.134-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.134&CDS=1-510	YAL044C
1626	OG0001626	-processed-gene-5.135-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-5.135&CDS=1-2061	YDL206W
1627	OG0001627	-processed-gene-6.90-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.90&CDS=1-1686	YGL084C
1628	OG0001628	-processed-gene-6.47-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.47&CDS=1-411	YGL087C
1629	OG0001629	-processed-gene-6.91-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.91&CDS=1-2034	YGL086W
1630	OG0001630	-processed-gene-6.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.94&CDS=1-2528	YBR055C
1631	OG0001631	-processed-gene-6.92-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.92&CDS=1-1515	YMR131C
1632	OG0001632	-processed-gene-6.95-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.95&CDS=1-1737	YGL166W
1633	OG0001633	-processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.97&CDS=1-4692	YOR326W
1634	OG0001634	-processed-gene-6.69-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.69&CDS=1-339	YAL044W-A
1635	OG0001635	-processed-gene-6.115-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.115&CDS=1-552	YLR065C
1636	OG0001636	-processed-gene-6.116-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.116&CDS=1-822	YLR064W
1637	OG0001637	-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.12&CDS=1-2613	YPL072W
1638	OG0001638	-processed-gene-6.72-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.72&CDS=1-309	YER183C
1639	OG0001639	-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.28&CDS=1-1455	YHR207C
1640	OG0001640	-processed-gene-6.119-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.119&CDS=1-864	YER182W
1641	OG0001641	-augustus-gene-6.1-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-augustus-gene-6.1&CDS=1-1782	YDR005C
1642	OG0001642	-processed-gene-6.120-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.120&CDS=1-1614	YNL124W
1643	OG0001643	-processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.121&CDS=1-852	YBR011C
1644	OG0001644	-processed-gene-6.122-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.122&CDS=1-1518	YCR098C
1645	OG0001645	-processed-gene-6.105-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.105&CDS=1-387	YNR046W
1646	OG0001646	-processed-gene-6.106-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.106&CDS=1-963	YEL051W
1647	OG0001647	-processed-gene-6.107-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.107&CDS=1-1887	YKL148C
1648	OG0001648	-processed-gene-6.124-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.124&CDS=1-2505	YGL083W
1649	OG0001649	-processed-gene-6.108-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.108&CDS=1-585	YPL178W
1650	OG0001650	-processed-gene-6.109-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.109&CDS=1-990	YML121W
1651	OG0001651	-processed-gene-6.110-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.110&CDS=1-1344	YHR190W
1652	OG0001652	-processed-gene-6.128-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.128&CDS=1-1311	YBR279W
1653	OG0001653	-processed-gene-6.129-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.129&CDS=1-594	YDR032C
1654	OG0001654	-processed-gene-6.112-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.112&CDS=1-642	YML001W
1655	OG0001655	-processed-gene-6.131-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.131&CDS=1-699	YPL199C
1656	OG0001656	-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-6.43&CDS=1-2043	YJL090C
1657	OG0001657	-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-7.77&CDS=1-5763	YMR176W
