	OrthologID	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
867	OG0000867	XP_011118048.1	YOR020C
868	OG0000868	XP_011118050.1	YDL025C
869	OG0000869	XP_011118051.1	YNL185C
870	OG0000870	XP_011118059.1	YGL172W
871	OG0000871	XP_011118060.1	YJR093C
872	OG0000872	XP_011118071.1	YML123C
873	OG0000873	XP_011118075.1	YPL207W
874	OG0000874	XP_011118084.1	YNL239W
875	OG0000875	XP_011118317.1	YGL156W
876	OG0000876	XP_011118318.1	YFL034W
877	OG0000877	XP_011118319.1	YNL209W
878	OG0000878	XP_011118325.1	YGL022W
879	OG0000879	XP_011118331.1	YBL007C
880	OG0000880	XP_011118333.1	YOR004W
881	OG0000881	XP_011118336.1	YER173W
882	OG0000882	XP_011118341.1	YCR088W
883	OG0000883	XP_011118349.1	YGL190C
884	OG0000884	XP_011118361.1	YBR252W
885	OG0000885	XP_011118362.1	YEL029C
886	OG0000886	XP_011118370.1	YGL085W
887	OG0000887	XP_011118377.1	YER170W
888	OG0000888	XP_011118378.1	YPR125W
889	OG0000889	XP_011118389.1	YNR035C
890	OG0000890	XP_011118390.1	YLR129W
891	OG0000891	XP_011118391.1	YLL014W
892	OG0000892	XP_011118397.1	YDR469W
893	OG0000893	XP_011118405.1	YIR027C
894	OG0000894	XP_011118426.1	YDR061W
895	OG0000895	XP_011118430.1	YMR009W
896	OG0000896	XP_011118438.1	YBR223C
897	OG0000897	XP_011118443.1	YOR323C
898	OG0000898	XP_011118444.1	YLR427W
899	OG0000899	XP_011118446.1	YML086C
900	OG0000900	XP_011118454.1	YCR090C
901	OG0000901	XP_011118456.1	YDR221W
902	OG0000902	XP_011118464.1	YDL015C
903	OG0000903	XP_011118470.1	YGR037C
904	OG0000904	XP_011118474.1	YMR063W
905	OG0000905	XP_011118475.1	YKR088C
906	OG0000906	XP_011118486.1	YKL034W
907	OG0000907	XP_011118539.1	YDR375C
908	OG0000908	XP_011118554.1	YBR256C
909	OG0000909	XP_011118559.1	YIR022W
910	OG0000910	XP_011118560.1	YHR065C
911	OG0000911	XP_011118567.1	YCR059C
912	OG0000912	XP_011118579.1	YKL095W
913	OG0000913	XP_011118580.1	YDL167C
914	OG0000914	XP_011118583.1	YCR034W
915	OG0000915	XP_011118584.1	YHR051W
916	OG0000916	XP_011118589.1	YKR050W
917	OG0000917	XP_011118592.1	YHR074W
918	OG0000918	XP_011118597.1	YKR001C
919	OG0000919	XP_011118598.1	YLR274W
920	OG0000920	XP_011118599.1	YDR027C
921	OG0000921	XP_011118604.1	YHR099W
922	OG0000922	XP_011118608.1	YOR014W
923	OG0000923	XP_011118609.1	YBR123C
924	OG0000924	XP_011118611.1	YDR468C
925	OG0000925	XP_011118612.1	YKL022C
926	OG0000926	XP_011118613.1	YDR196C
927	OG0000927	XP_011118616.1	YDL030W
928	OG0000928	XP_011118625.1	YJL167W
929	OG0000929	XP_011118626.1	YDR325W
930	OG0000930	XP_011118627.1	YGR061C
931	OG0000931	XP_011118638.1	YFR015C
932	OG0000932	XP_011118639.1	YGL245W
933	OG0000933	XP_011118642.1	YCR046C
934	OG0000934	XP_011118644.1	YMR010W
935	OG0000935	XP_011118646.1	YDL217C
936	OG0000936	XP_011118647.1	YPL041C
937	OG0000937	XP_011118653.1	YJR119C
938	OG0000938	XP_011118654.1	YHR201C
939	OG0000939	XP_011118656.1	YKL067W
940	OG0000940	XP_011118658.1	YIL003W
941	OG0000941	XP_011118659.1	YBR229C
942	OG0000942	XP_011118666.1	YCR057C
943	OG0000943	XP_011118669.1	YPR143W
944	OG0000944	XP_011118670.1	YPL252C
945	OG0000945	XP_011118674.1	YJR057W
946	OG0000946	XP_011118677.1	YPR067W
947	OG0000947	XP_011118678.1	YGL067W
948	OG0000948	XP_011118684.1	YOL038W
949	OG0000949	XP_011118685.1	YDL178W
950	OG0000950	XP_011118687.1	YAL032C
951	OG0000951	XP_011118689.1	YMR304W
952	OG0000952	XP_011118693.1	YHR176W
953	OG0000953	XP_011118697.1	YDL117W
954	OG0000954	XP_011118700.1	YDR116C
955	OG0000955	XP_011118701.1	YPR088C
956	OG0000956	XP_011118708.1	YLR066W
957	OG0000957	XP_011118710.1	YGL173C
958	OG0000958	XP_011118711.1	YEL056W
959	OG0000959	XP_011118712.1	YBL058W
960	OG0000960	XP_011118713.1	YOL026C
961	OG0000961	XP_011118715.1	YML015C
962	OG0000962	XP_011118716.1	YER154W
963	OG0000963	XP_011118718.1	YOL052C
964	OG0000964	XP_011118719.1	YGR267C
965	OG0000965	XP_011118724.1	YGR215W
966	OG0000966	XP_011118727.1	YMR239C
967	OG0000967	XP_011118730.1	YMR240C
968	OG0000968	XP_011118734.1	YMR241W
969	OG0000969	XP_011118736.1	YDR044W
970	OG0000970	XP_011118737.1	YBL078C
971	OG0000971	XP_011118738.1	YOR261C
972	OG0000972	XP_011118739.1	YNL251C
973	OG0000973	XP_011118741.1	YGL008C
974	OG0000974	XP_011118744.1	YDR226W
975	OG0000975	XP_011118745.1	YDR228C
976	OG0000976	XP_011118746.1	YDL198C
977	OG0000977	XP_011118747.1	YKL211C
978	OG0000978	XP_011118748.1	YML103C
979	OG0000979	XP_011118752.1	YNL075W
980	OG0000980	XP_011118753.1	YPL131W
981	OG0000981	XP_011118754.1	YKL113C
982	OG0000982	XP_011118757.1	YPL196W
983	OG0000983	XP_011118760.1	YDR145W
984	OG0000984	XP_011118762.1	YMR265C
985	OG0000985	XP_011118765.1	YER021W
986	OG0000986	XP_011118766.1	YKL119C
987	OG0000987	XP_011118772.1	YLR383W
988	OG0000988	XP_011118773.1	YLR330W
989	OG0000989	XP_011118774.1	YIL070C
990	OG0000990	XP_011118775.1	YDL160C
991	OG0000991	XP_011118778.1	YGR090W
992	OG0000992	XP_011118780.1	YMR129W
993	OG0000993	XP_011118784.1	YNL212W
994	OG0000994	XP_011118790.1	YNL273W
995	OG0000995	XP_011118792.1	YDL141W
996	OG0000996	XP_011118793.1	YJL141C
997	OG0000997	XP_011118795.1	YGR127W
998	OG0000998	XP_011118799.1	YMR309C
999	OG0000999	XP_011118801.1	YKL203C
1000	OG0001000	XP_011118802.1	YPL122C
1001	OG0001001	XP_011118805.1	YKR035W-A
1002	OG0001002	XP_011118808.1	YBR026C
1003	OG0001003	XP_011118809.1	YMR293C
1004	OG0001004	XP_011118810.1	YJL035C
1005	OG0001005	XP_011118811.1	YMR205C
1006	OG0001006	XP_011118812.1	YBR221C
1007	OG0001007	XP_011118813.1	YDR493W
1008	OG0001008	XP_011118814.1	YBR065C
1009	OG0001009	XP_011118815.1	YML008C
1010	OG0001010	XP_011118816.1	YGR285C
1011	OG0001011	XP_011118820.1	YBR136W
1012	OG0001012	XP_011118821.1	YOR155C
1013	OG0001013	XP_011118822.1	YMR048W
1014	OG0001014	XP_011118824.1	YGR186W
1015	OG0001015	XP_011118825.1	YER022W
1016	OG0001016	XP_011118827.1	YLR398C
1017	OG0001017	XP_011118828.1	YJR132W
1018	OG0001018	XP_011118831.1	YJR133W
1019	OG0001019	XP_011118833.1	YGR187C
1020	OG0001020	XP_011118834.1	YGR244C
1021	OG0001021	XP_011118839.1	YBR247C
1022	OG0001022	XP_011118840.1	YLR015W
1023	OG0001023	XP_011118843.1	YOR122C
1024	OG0001024	XP_011118845.1	YGR271W
1025	OG0001025	XP_011118847.1	YGL174W
1026	OG0001026	XP_011118850.1	YDR109C
1027	OG0001027	XP_011118854.1	YJL003W
1028	OG0001028	XP_011118859.1	YGL247W
1029	OG0001029	XP_011118862.1	YPR155C
1030	OG0001030	XP_011118868.1	YNL321W
1031	OG0001031	XP_011118870.1	YMR216C
1032	OG0001032	XP_011118874.1	YBR086C
1033	OG0001033	XP_011118876.1	YFR002W
1034	OG0001034	XP_011118880.1	YLR287C
1035	OG0001035	XP_011118884.1	YGL048C
1036	OG0001036	XP_011118885.1	YLR309C
1037	OG0001037	XP_011118886.1	YFL005W
1038	OG0001038	XP_011118888.1	YLR409C
1039	OG0001039	XP_011118889.1	YLR410W
1040	OG0001040	XP_011118891.1	YDR320C-A
1041	OG0001041	XP_011118892.1	YNL059C
1042	OG0001042	XP_011118893.1	YBL036C
1043	OG0001043	XP_011118894.1	YKL181W
1044	OG0001044	XP_011118905.1	YDR120C
1045	OG0001045	XP_011118906.1	YPL231W
1046	OG0001046	XP_011118907.1	YKL182W
1047	OG0001047	XP_011118908.1	YGR060W
1048	OG0001048	XP_011118921.1	YMR033W
1049	OG0001049	XP_011118926.1	YDR140W
1050	OG0001050	XP_011118932.1	YML059C
1051	OG0001051	XP_011118935.1	YDL238C
1052	OG0001052	XP_011118943.1	YPR026W
1053	OG0001053	XP_011118948.1	YMR189W
1054	OG0001054	XP_011118961.1	YJR144W
1055	OG0001055	XP_011119146.1	YFL055W
1056	OG0001056	XP_011119180.1	YGR234W
1057	OG0001057	XP_011119184.1	YDL168W
1058	OG0001058	XP_011119196.1	YBR289W
1059	OG0001059	XP_011119199.1	YMR076C
1060	OG0001060	XP_011119204.1	YDL164C
1061	OG0001061	XP_011119212.1	YNL045W
1062	OG0001062	XP_011119217.1	YMR075W
1063	OG0001063	XP_011119218.1	YDR101C
1064	OG0001064	XP_011119244.1	YHR019C
1065	OG0001065	XP_011119247.1	YPR094W
1066	OG0001066	XP_011119251.1	YPL184C
1067	OG0001067	XP_011119257.1	YER023W
1068	OG0001068	XP_011119258.1	YOR236W
1069	OG0001069	XP_011119260.1	YGL070C
1070	OG0001070	XP_011119261.1	YGL068W
1071	OG0001071	XP_011119263.1	YPR095C
1072	OG0001072	XP_011119266.1	YHR132C
1073	OG0001073	XP_011119267.1	YKL170W
1074	OG0001074	XP_011119268.1	YPL203W
1075	OG0001075	XP_011119270.1	YKL033W
1076	OG0001076	XP_011119277.1	YGL130W
1077	OG0001077	XP_011119280.1	YDR410C
1078	OG0001078	XP_011119281.1	YKL175W
1079	OG0001079	XP_011119282.1	YKR044W
1080	OG0001080	XP_011119292.1	YJR092W
1081	OG0001081	XP_011119293.1	YGL064C
1082	OG0001082	XP_011119295.1	YNR020C
1083	OG0001083	XP_011119303.1	YER061C
1084	OG0001084	XP_011119306.1	YGL066W
1085	OG0001085	XP_011119307.1	YJR095W
1086	OG0001086	XP_011119308.1	YGR080W
1087	OG0001087	XP_011119309.1	YNL252C
1088	OG0001088	XP_011119310.1	YAL026C
1089	OG0001089	XP_011119311.1	YPR040W
1090	OG0001090	XP_011119312.1	YPL215W
1091	OG0001091	XP_011119313.1	YLR002C
1092	OG0001092	XP_011119320.1	YPL210C
1093	OG0001093	XP_011119321.1	YPL211W
1094	OG0001094	XP_011119322.1	YPL212C
1095	OG0001095	XP_011119324.1	YKL154W
1096	OG0001096	XP_011119328.1	YOL078W
1097	OG0001097	XP_011119329.1	YLR106C
1098	OG0001098	XP_011119330.1	YPR041W
1099	OG0001099	XP_011119338.1	YIR011C
1100	OG0001100	XP_011119343.1	YNL317W
1101	OG0001101	XP_011119344.1	YER178W
1102	OG0001102	XP_011119345.1	YDL001W
1103	OG0001103	XP_011119349.1	YER155C
1104	OG0001104	XP_011119352.1	YOR067C
1105	OG0001105	XP_011119353.1	YJL008C
1106	OG0001106	XP_011119354.1	YOR079C
1107	OG0001107	XP_011119358.1	YBL039C
1108	OG0001108	XP_011119359.1	YPL001W
1109	OG0001109	XP_011119360.1	YLR429W
1110	OG0001110	XP_011119362.1	YLR290C
1111	OG0001111	XP_011119363.1	YLR423C
1112	OG0001112	XP_011119365.1	YIL046W
1113	OG0001113	XP_011119366.1	YNL107W
1114	OG0001114	XP_011119367.1	YLR276C
1115	OG0001115	XP_011119368.1	YAL046C
1116	OG0001116	XP_011119370.1	YPR140W
1117	OG0001117	XP_011119371.1	YPR139C
1118	OG0001118	XP_011119380.1	YNL267W
1119	OG0001119	XP_011119381.1	YAL022C
1120	OG0001120	XP_011119382.1	YDR168W
1121	OG0001121	XP_011119383.1	YLR188W
1122	OG0001122	XP_011119384.1	YOL018C
1123	OG0001123	XP_011119386.1	YGR167W
1124	OG0001124	XP_011119387.1	YDR289C
1125	OG0001125	XP_011119388.1	YKL116C
1126	OG0001126	XP_011119390.1	YER159C
1127	OG0001127	XP_011119392.1	YPR141C
1128	OG0001128	XP_011119397.1	YKR087C
1129	OG0001129	XP_011119399.1	YJL074C
1130	OG0001130	XP_011119400.1	YOR119C
1131	OG0001131	XP_011119401.1	YNR016C
1132	OG0001132	XP_011119404.1	YPL067C
1133	OG0001133	XP_011119405.1	YIL043C
1134	OG0001134	XP_011119407.1	YDL052C
1135	OG0001135	XP_011119414.1	YPL178W
1136	OG0001136	XP_011119416.1	YML126C
1137	OG0001137	XP_011119417.1	YML128C
1138	OG0001138	XP_011119429.1	YGR159C
1139	OG0001139	XP_011119430.1	YBR268W
1140	OG0001140	XP_011119431.1	YBL026W
1141	OG0001141	XP_011119432.1	YMR137C
1142	OG0001142	XP_011119435.1	YAR015W
1143	OG0001143	XP_011119446.1	YIL030C
1144	OG0001144	XP_011119449.1	YER049W
1145	OG0001145	XP_011119450.1	YEL046C
1146	OG0001146	XP_011119456.1	YBR018C
1147	OG0001147	XP_011119459.1	YDR244W
1148	OG0001148	XP_011119462.1	YJL121C
1149	OG0001149	XP_011119463.1	YPL153C
1150	OG0001150	XP_011119465.1	YLR359W
1151	OG0001151	XP_011119466.1	YGR058W
1152	OG0001152	XP_011119469.1	YER163C
1153	OG0001153	XP_011119471.1	YDR084C
1154	OG0001154	XP_011119477.1	YLR084C
1155	OG0001155	XP_011119478.1	YLR166C
1156	OG0001156	XP_011119479.1	YHR070W
1157	OG0001157	XP_011119480.1	YML060W
1158	OG0001158	XP_011119481.1	YHR175W
1159	OG0001159	XP_011119482.1	YJR025C
1160	OG0001160	XP_011119483.1	YGL001C
1161	OG0001161	XP_011119485.1	YNL329C
1162	OG0001162	XP_011119489.1	YOR188W
1163	OG0001163	XP_011119491.1	YBR088C
1164	OG0001164	XP_011119494.1	YMR055C
1165	OG0001165	XP_011119495.1	YJR082C
1166	OG0001166	XP_011119499.1	YDR064W
1167	OG0001167	XP_011119505.1	YAL042W
1168	OG0001168	XP_011119506.1	YNL026W
1169	OG0001169	XP_011119521.1	YHR085W
1170	OG0001170	XP_011119523.1	YIL041W
1171	OG0001171	XP_011119525.1	YHR045W
1172	OG0001172	XP_011119529.1	YPR169W
1173	OG0001173	XP_011119533.1	YKL191W
1174	OG0001174	XP_011119536.1	YGR227W
1175	OG0001175	XP_011119539.1	YDR489W
1176	OG0001176	XP_011119548.1	YLR143W
1177	OG0001177	XP_011119549.1	YNL001W
1178	OG0001178	XP_011119567.1	YFR033C
1179	OG0001179	XP_011119569.1	YHR204W
1180	OG0001180	XP_011119573.1	YMR201C
1181	OG0001181	XP_011119574.1	YOR238W
1182	OG0001182	XP_011119583.1	YML022W
1183	OG0001183	XP_011119584.1	YFL022C
1184	OG0001184	XP_011119595.1	YLL056C
1185	OG0001185	XP_011119608.1	YMR034C
1186	OG0001186	XP_011119619.1	YNL110C
1187	OG0001187	XP_011119620.1	YGR202C
1188	OG0001188	XP_011119623.1	YNL055C
1189	OG0001189	XP_011119628.1	YGR124W
1190	OG0001190	XP_011119631.1	YPL091W
1191	OG0001191	XP_011119632.1	YDL081C
1192	OG0001192	XP_011119634.1	YPL260W
1193	OG0001193	XP_011119635.1	YFR007W
1194	OG0001194	XP_011119636.1	YKL165C
1195	OG0001195	XP_011119638.1	YDR448W
1196	OG0001196	XP_011119644.1	YPL118W
1197	OG0001197	XP_011119647.1	YKR009C
1198	OG0001198	XP_011119650.1	YJL020C
1199	OG0001199	XP_011119651.1	YDL165W
1200	OG0001200	XP_011119653.1	YGL035C
1201	OG0001201	XP_011119654.1	YDR076W
1202	OG0001202	XP_011119655.1	YOR160W
1203	OG0001203	XP_011119656.1	YOR159C
1204	OG0001204	XP_011119657.1	YER183C
1205	OG0001205	XP_011119658.1	YMR200W
1206	OG0001206	XP_011119663.1	YGR020C
1207	OG0001207	XP_011119664.1	YDL046W
1208	OG0001208	XP_011119666.1	YOR317W
1209	OG0001209	XP_011119667.1	YLR137W
1210	OG0001210	XP_011119671.1	YNL155W
1211	OG0001211	XP_011119672.1	YGL184C
1212	OG0001212	XP_011119675.1	YGL100W
1213	OG0001213	XP_011119678.1	YGL009C
1214	OG0001214	XP_011119682.1	YDR429C
1215	OG0001215	XP_011119683.1	YNL256W
1216	OG0001216	XP_011119686.1	YER122C
1217	OG0001217	XP_011119689.1	YOR075W
1218	OG0001218	XP_011119691.1	YBR200W
1219	OG0001219	XP_011119693.1	YJR140C
1220	OG0001220	XP_011119695.1	YJR045C
1221	OG0001221	XP_011119697.1	YPR045C
1222	OG0001222	XP_011119698.1	YHR205W
1223	OG0001223	XP_011119704.1	YCR044C
1224	OG0001224	XP_011119705.1	YEL058W
1225	OG0001225	XP_011119706.1	YDL144C
1226	OG0001226	XP_011119714.1	YGR246C
1227	OG0001227	XP_011119726.1	YOR117W
1228	OG0001228	XP_011119727.1	YDR386W
1229	OG0001229	XP_011119735.1	YLR389C
1230	OG0001230	XP_011119760.1	YML121W
1231	OG0001231	XP_011119763.1	YGL112C
1232	OG0001232	XP_011119782.1	YBR110W
1233	OG0001233	XP_011119787.1	YIL143C
1234	OG0001234	XP_011119792.1	YGL221C
1235	OG0001235	XP_011119808.1	YLL002W
1236	OG0001236	XP_011119810.1	YLR312W-A
1237	OG0001237	XP_011119813.1	YHR072W
1238	OG0001238	XP_011119820.1	YIL047C
1239	OG0001239	XP_011119821.1	YPL239W
1240	OG0001240	XP_011119832.1	YOR057W
1241	OG0001241	XP_011119834.1	YHL020C
1242	OG0001242	XP_011119842.1	YLR433C
1243	OG0001243	XP_011119862.1	YNL247W
1244	OG0001244	XP_011119863.1	YJL125C
1245	OG0001245	XP_011119867.1	YLR105C
1246	OG0001246	XP_011119869.1	YNL005C
1247	OG0001247	XP_011119871.1	YOR056C
1248	OG0001248	XP_011119872.1	YHR072W-A
1249	OG0001249	XP_011119874.1	YDR320C
1250	OG0001250	XP_011119916.1	YMR218C
1251	OG0001251	XP_011119921.1	YIL064W
1252	OG0001252	XP_011119926.1	YMR212C
1253	OG0001253	XP_011119928.1	YAL016W
1254	OG0001254	XP_011119930.1	YLR060W
1255	OG0001255	XP_011119932.1	YPL244C
1256	OG0001256	XP_011119935.1	YIL112W
1257	OG0001257	XP_011119936.1	YOR369C
1258	OG0001258	XP_011119940.1	YDR400W
1259	OG0001259	XP_011119942.1	YBL104C
1260	OG0001260	XP_011119945.1	YDR179W-A
1261	OG0001261	XP_011119949.1	YPR168W
1262	OG0001262	XP_011119952.1	YNL020C
1263	OG0001263	XP_011119953.1	YPL082C
1264	OG0001264	XP_011119956.1	YJR090C
1265	OG0001265	XP_011119958.1	YLR234W
1266	OG0001266	XP_011119960.1	YMR089C
1267	OG0001267	XP_011119961.1	YLR009W
1268	OG0001268	XP_011119962.1	YPL138C
1269	OG0001269	XP_011119963.1	YLR008C
1270	OG0001270	XP_011119965.1	YBL086C
1271	OG0001271	XP_011119969.1	YCR094W
1272	OG0001272	XP_011119970.1	YNL041C
1273	OG0001273	XP_011119971.1	YEL011W
1274	OG0001274	XP_011119972.1	YJR121W
1275	OG0001275	XP_011119974.1	YML014W
1276	OG0001276	XP_011119975.1	YNL148C
1277	OG0001277	XP_011119976.1	YKL089W
1278	OG0001278	XP_011119977.1	YNL072W
1279	OG0001279	XP_011119980.1	YBR227C
1280	OG0001280	XP_011119983.1	YLR303W
1281	OG0001281	XP_011119984.1	YPR051W
1282	OG0001282	XP_011119985.1	YLR272C
1283	OG0001283	XP_011119986.1	YDL017W
1284	OG0001284	XP_011119987.1	YGL103W
1285	OG0001285	XP_011119989.1	YDL149W
1286	OG0001286	XP_011119990.1	YDL086W
1287	OG0001287	XP_011119992.1	YNL261W
1288	OG0001288	XP_011119993.1	YOR207C
1289	OG0001289	XP_011119997.1	YJR053W
1290	OG0001290	XP_011119998.1	YBL040C
1291	OG0001291	XP_011119999.1	YPL222W
1292	OG0001292	XP_011120001.1	YDL124W
1293	OG0001293	XP_011120004.1	YLR005W
1294	OG0001294	XP_011120011.1	YCL057C-A
1295	OG0001295	XP_011120012.1	YJR041C
1296	OG0001296	XP_011120021.1	YAR014C
1297	OG0001297	XP_011120024.1	YNL163C
1298	OG0001298	XP_011120030.1	YKL002W
1299	OG0001299	XP_011120031.1	YBR179C
1300	OG0001300	XP_011120033.1	YLR275W
1301	OG0001301	XP_011120034.1	YMR179W
1302	OG0001302	XP_011120037.1	YMR150C
1303	OG0001303	XP_011120038.1	YDR322W
1304	OG0001304	XP_011120039.1	YML025C
1305	OG0001305	XP_011120041.1	YKR062W
1306	OG0001306	XP_011120042.1	YMR100W
1307	OG0001307	XP_011120043.1	YMR162C
1308	OG0001308	XP_011120045.1	YHR100C
1309	OG0001309	XP_011120049.1	YJL026W
1310	OG0001310	XP_011120051.1	YOR187W
1311	OG0001311	XP_011120053.1	YDR036C
1312	OG0001312	XP_011120054.1	YKL018W
1313	OG0001313	XP_011120055.1	YKL120W
1314	OG0001314	XP_011120057.1	YNL085W
1315	OG0001315	XP_011120061.1	YMR229C
1316	OG0001316	XP_011120062.1	YML018C
1317	OG0001317	XP_011120064.1	YML001W
1318	OG0001318	XP_011120065.1	YMR159C
1319	OG0001319	XP_011120066.1	YDR440W
1320	OG0001320	XP_011120070.1	YOL033W
1321	OG0001321	XP_011120073.1	YCL054W
1322	OG0001322	XP_011120076.1	YOR058C
1323	OG0001323	XP_011120077.1	YOR005C
1324	OG0001324	XP_011120079.1	YDR080W
1325	OG0001325	XP_011120080.1	YNL172W
1326	OG0001326	XP_011120083.1	YMR278W
1327	OG0001327	XP_011120096.1	YPL154C
1328	OG0001328	XP_011120097.1	YPR189W
1329	OG0001329	XP_011120102.1	YJR074W
1330	OG0001330	XP_011120103.1	YLR189C
1331	OG0001331	XP_011120104.1	YBR081C
1332	OG0001332	XP_011120105.1	YJR124C
1333	OG0001333	XP_011120109.1	YGR032W
1334	OG0001334	XP_011120110.1	YMR307W
1335	OG0001335	XP_011120111.1	YLR221C
1336	OG0001336	XP_011120115.1	YLR074C
1337	OG0001337	XP_011120116.1	YLR088W
1338	OG0001338	XP_011120119.1	YMR277W
1339	OG0001339	XP_011120121.1	YLL035W
1340	OG0001340	XP_011120123.1	YLR200W
1341	OG0001341	XP_011120124.1	YPR173C
1342	OG0001342	XP_011120128.1	YMR308C
1343	OG0001343	XP_011120134.1	YMR228W
1344	OG0001344	XP_011120136.1	YDL146W
1345	OG0001345	XP_011120137.1	YOL090W
1346	OG0001346	XP_011120138.1	YGR054W
1347	OG0001347	XP_011120143.1	YLR191W
1348	OG0001348	XP_011120145.1	YEL003W
1349	OG0001349	XP_011120147.1	YBL021C
1350	OG0001350	XP_011120176.1	YOL022C
1351	OG0001351	XP_011120177.1	YNR030W
1352	OG0001352	XP_011120178.1	YER074W-A
1353	OG0001353	XP_011120182.1	YGL202W
1354	OG0001354	XP_011120185.1	YNL115C
1355	OG0001355	XP_011120190.1	YBR011C
1356	OG0001356	XP_011120191.1	YNR015W
1357	OG0001357	XP_011120193.1	YMR301C
1358	OG0001358	XP_011120196.1	YDR427W
1359	OG0001359	XP_011120199.1	YLR386W
1360	OG0001360	XP_011120200.1	YOL023W
1361	OG0001361	XP_011120202.1	YOR006C
1362	OG0001362	XP_011120208.1	YMR223W
1363	OG0001363	XP_011120209.1	YDL230W
1364	OG0001364	XP_011120210.1	YKR030W
1365	OG0001365	XP_011120212.1	YLR086W
1366	OG0001366	XP_011120213.1	YGR001C
1367	OG0001367	XP_011120214.1	YCR061W
1368	OG0001368	XP_011120217.1	YFL044C
1369	OG0001369	XP_011120218.1	YGR113W
1370	OG0001370	XP_011120228.1	YNL262W
1371	OG0001371	XP_011120229.1	YJL111W
1372	OG0001372	XP_011120234.1	YFL018C
1373	OG0001373	XP_011120235.1	YLR336C
1374	OG0001374	XP_011120238.1	YER157W
1375	OG0001375	XP_011120239.1	YLR077W
1376	OG0001376	XP_011120240.1	YMR061W
1377	OG0001377	XP_011120246.1	YJL115W
1378	OG0001378	XP_011120248.1	YLR197W
1379	OG0001379	XP_011120249.1	YDR188W
1380	OG0001380	XP_011120258.1	YDR182W
1381	OG0001381	XP_011120266.1	YBR295W
1382	OG0001382	XP_011120284.1	YBL011W
1383	OG0001383	XP_011120285.1	YGL092W
1384	OG0001384	XP_011120287.1	YOR257W
1385	OG0001385	XP_011120292.1	YBR135W
1386	OG0001386	XP_011120293.1	YOL004W
1387	OG0001387	XP_011120296.1	YDR487C
1388	OG0001388	XP_011120302.1	YNL036W
1389	OG0001389	XP_011120304.1	YOL146W
1390	OG0001390	XP_011120307.1	YDR486C
1391	OG0001391	XP_011120308.1	YOL073C
1392	OG0001392	XP_011120309.1	YLR424W
1393	OG0001393	XP_011120320.1	YOL096C
1394	OG0001394	XP_011120325.1	YGL251C
1395	OG0001395	XP_011120326.1	YDR336W
1396	OG0001396	XP_011120355.1	YLL041C
1397	OG0001397	XP_011120369.1	YPR184W
1398	OG0001398	XP_011120373.1	YBR022W
1399	OG0001399	XP_011120377.1	YOR065W
1400	OG0001400	XP_011120379.1	YMR296C
1401	OG0001401	XP_011120380.1	YHR111W
1402	OG0001402	XP_011120387.1	YBR202W
1403	OG0001403	XP_011120389.1	YKL197C
1404	OG0001404	XP_011120392.1	YCR092C
1405	OG0001405	XP_011120398.1	YLR318W
1406	OG0001406	XP_011120402.1	YGL129C
1407	OG0001407	XP_011120403.1	YOR294W
1408	OG0001408	XP_011120404.1	YPR176C
1409	OG0001409	XP_011120408.1	YPR037C
1410	OG0001410	XP_011120409.1	YCR072C
1411	OG0001411	XP_011120411.1	YHR079C
1412	OG0001412	XP_011120412.1	YIL142W
1413	OG0001413	XP_011120413.1	YLR241W
1414	OG0001414	XP_011120415.1	YNL315C
1415	OG0001415	XP_011120420.1	YER055C
1416	OG0001416	XP_011120422.1	YNL023C
1417	OG0001417	XP_011120423.1	YNL320W
1418	OG0001418	XP_011120425.1	YJL001W
1419	OG0001419	XP_011120428.1	YFL003C
1420	OG0001420	XP_011120432.1	YOR361C
1421	OG0001421	XP_011120436.1	YDR266C
1422	OG0001422	XP_011120437.1	YDR412W
1423	OG0001423	XP_011120438.1	YDR414C
1424	OG0001424	XP_011120439.1	YHR101C
1425	OG0001425	XP_011120440.1	YJL204C
1426	OG0001426	XP_011120452.1	YPR137W
1427	OG0001427	XP_011120453.1	YER012W
1428	OG0001428	XP_011120456.1	YNR046W
1429	OG0001429	XP_011120459.1	YER146W
1430	OG0001430	XP_011120462.1	YDR339C
1431	OG0001431	XP_011120474.1	YGL080W
1432	OG0001432	XP_011120475.1	YKL024C
1433	OG0001433	XP_011120479.1	YDR265W
1434	OG0001434	XP_011120483.1	YDL206W
1435	OG0001435	XP_011120484.1	YBL097W
1436	OG0001436	XP_011120486.1	YKR065C
1437	OG0001437	XP_011120487.1	YOL005C
1438	OG0001438	XP_011120489.1	YER156C
1439	OG0001439	XP_011120502.1	YIR006C
1440	OG0001440	XP_011120504.1	YMR120C
1441	OG0001441	XP_011120505.1	YHR119W
1442	OG0001442	XP_011120515.1	YJR107W
1443	OG0001443	XP_011120516.1	YOR259C
1444	OG0001444	XP_011120517.1	YGR254W
1445	OG0001445	XP_011120531.1	YGL206C
1446	OG0001446	XP_011120538.1	YER029C
1447	OG0001447	XP_011120542.1	YPL115C
1448	OG0001448	XP_011120545.1	YOR204W
1449	OG0001449	XP_011120552.1	YCR047C
1450	OG0001450	XP_011120555.1	YFL013C
1451	OG0001451	XP_011120556.1	YER025W
1452	OG0001452	XP_011120559.1	YNL037C
1453	OG0001453	XP_011120563.1	YHR181W
1454	OG0001454	XP_011120564.1	YNL081C
