	OrthologID	Lachancea_quebecensis	Saccharomyces_cerevisiae
2187	OG0002187	genemark-LAQU0S06-processed-gene-4.77-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.77&CDS=1-1329	YGR052W
2188	OG0002188	snap_masked-LAQU0S06-processed-gene-4.36-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.36&CDS=1-660	YGR053C
2189	OG0002189	genemark-LAQU0S06-processed-gene-4.78-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.78&CDS=1-1878	YGR054W
2190	OG0002190	snap_masked-LAQU0S06-processed-gene-4.37-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.37&CDS=1-1044	YFL029C
2191	OG0002191	genemark-LAQU0S06-processed-gene-4.106-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.106&CDS=1-1071	YLR056W
2192	OG0002192	genemark-LAQU0S06-processed-gene-4.107-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.107&CDS=1-807	YFL028C
2193	OG0002193	genemark-LAQU0S06-processed-gene-4.79-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.79&CDS=1-1791	YLR055C
2194	OG0002194	snap_masked-LAQU0S06-processed-gene-4.40-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.40&CDS=1-1542	YFL027C
2195	OG0002195	genemark-LAQU0S06-processed-gene-4.80-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.80&CDS=1-2325	YLR057W
2196	OG0002196	genemark-LAQU0S06-processed-gene-4.113-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.113&CDS=1-1110	YFL030W
2197	OG0002197	genemark-LAQU0S06-processed-gene-4.115-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.115&CDS=1-699	YFL031W
2198	OG0002198	genemark-LAQU0S06-processed-gene-4.116-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.116&CDS=1-969	YLR059C
2199	OG0002199	genemark-LAQU0S06-processed-gene-4.81-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.81&CDS=1-4569	YFL033C
2200	OG0002200	genemark-LAQU0S06-processed-gene-4.82-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.82&CDS=1-1779	YLR060W
2201	OG0002201	genemark-LAQU0S06-processed-gene-4.117-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.117&CDS=1-2841	YFL034W
2202	OG0002202	genemark-LAQU0S06-processed-gene-4.84-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.84&CDS=1-1773	YFL034C-B
2203	OG0002203	augustus_masked-LAQU0S06-processed-gene-4.181-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.181&CDS=1-3867	YFL036W
2204	OG0002204	genemark-LAQU0S06-processed-gene-4.119-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.119&CDS=1-1347	YFL037W
2205	OG0002205	genemark-LAQU0S06-processed-gene-4.85-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.85&CDS=1-612	YFL038C
2206	OG0002206	snap_masked-LAQU0S06-processed-gene-4.51-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.51&CDS=1-519	YLR065C
2207	OG0002207	genemark-LAQU0S06-processed-gene-4.121-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.121&CDS=1-975	YFL040W
2208	OG0002208	genemark-LAQU0S06-processed-gene-4.87-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.87&CDS=1-597	YLR066W
2209	OG0002209	genemark-LAQU0S06-processed-gene-4.122-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.122&CDS=1-2451	YLR067C
2210	OG0002210	genemark-LAQU0S06-processed-gene-4.88-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.88&CDS=1-435	YLR068W
2211	OG0002211	genemark-LAQU0S06-processed-gene-4.126-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.126&CDS=1-2985	YLR071C
2212	OG0002212	augustus_masked-LAQU0S06-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.190&CDS=1-582	YLR073C
2213	OG0002213	genemark-LAQU0S06-processed-gene-4.90-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.90&CDS=1-948	YFL044C
2214	OG0002214	genemark-LAQU0S06-processed-gene-4.128-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.128&CDS=1-477	YLR074C
2215	OG0002215	augustus_masked-LAQU0S06-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.157&CDS=1-660	YLR075W
2216	OG0002216	genemark-LAQU0S06-processed-gene-4.92-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.92&CDS=1-765	YFL045C
2217	OG0002217	augustus_masked-LAQU0S06-processed-gene-4.192-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.192&CDS=1-621	YFL046W
2218	OG0002218	genemark-LAQU0S06-processed-gene-4.93-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.93&CDS=1-1767	YLR077W
2219	OG0002219	augustus_masked-LAQU0S06-processed-gene-4.193-mRNA-1_1&gene=augustus_masked-LAQU0S06-processed-gene-4.193&CDS=1-672	YLR078C
2220	OG0002220	snap_masked-LAQU0S06-processed-gene-4.26-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.26&CDS=1-885	YLR079W
2221	OG0002221	genemark-LAQU0S06-processed-gene-4.131-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.131&CDS=1-2115	YFL047W
2222	OG0002222	genemark-LAQU0S06-processed-gene-4.96-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.96&CDS=1-1281	YFL048C
2223	OG0002223	snap_masked-LAQU0S06-processed-gene-4.61-mRNA-1_1&gene=snap_masked-LAQU0S06-processed-gene-4.61&CDS=1-1554	YFL049W
2224	OG0002224	genemark-LAQU0S06-processed-gene-4.133-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.133&CDS=1-1395	YHR018C
2225	OG0002225	genemark-LAQU0S07-processed-gene-0.70-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.70&CDS=1-1374	YLR459W
2226	OG0002226	genemark-LAQU0S07-processed-gene-0.43-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.43&CDS=1-2295	YPR181C
2227	OG0002227	augustus_masked-LAQU0S07-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.22&CDS=1-960	YPR180W
2228	OG0002228	genemark-LAQU0S07-processed-gene-0.44-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.44&CDS=1-1941	YPR179C
2229	OG0002229	augustus_masked-LAQU0S07-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.23&CDS=1-1413	YPR178W
2230	OG0002230	genemark-LAQU0S07-processed-gene-0.45-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.45&CDS=1-972	YPR176C
2231	OG0002231	genemark-LAQU0S07-processed-gene-0.73-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.73&CDS=1-2085	YPR175W
2232	OG0002232	genemark-LAQU0S07-processed-gene-0.46-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.46&CDS=1-903	YPR174C
2233	OG0002233	genemark-LAQU0S07-processed-gene-0.47-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.47&CDS=1-1281	YPR173C
2234	OG0002234	augustus_masked-LAQU0S07-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-0.25&CDS=1-1506	YLR455W
2235	OG0002235	snap_masked-LAQU0S07-processed-gene-0.126-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.126&CDS=1-2244	YPR171W
2236	OG0002236	maker-LAQU0S07-snap-gene-0.41-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-0.41&CDS=1-225	YPR170W-B
2237	OG0002237	snap_masked-LAQU0S07-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.100&CDS=1-1818	YOL117W
2238	OG0002238	genemark-LAQU0S07-processed-gene-0.51-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.51&CDS=1-882	YOL116W
2239	OG0002239	genemark-LAQU0S07-processed-gene-0.52-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.52&CDS=1-1836	YOL115W
2240	OG0002240	genemark-LAQU0S07-processed-gene-0.80-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.80&CDS=1-513	YOL114C
2241	OG0002241	genemark-LAQU0S07-processed-gene-0.81-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.81&CDS=1-4842	YNL297C
2242	OG0002242	snap_masked-LAQU0S07-processed-gene-0.105-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.105&CDS=1-1425	YNL295W
2243	OG0002243	genemark-LAQU0S07-processed-gene-0.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.82&CDS=1-1590	YNL294C
2244	OG0002244	genemark-LAQU0S07-processed-gene-0.55-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.55&CDS=1-1692	YNL293W
2245	OG0002245	genemark-LAQU0S07-processed-gene-0.83-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.83&CDS=1-624	YOL111C
2246	OG0002246	maker-LAQU0S07-augustus-gene-0.89-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-0.89&CDS=1-1947	YNL292W
2247	OG0002247	genemark-LAQU0S07-processed-gene-0.84-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.84&CDS=1-1467	YNL291C
2248	OG0002248	genemark-LAQU0S07-processed-gene-0.58-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.58&CDS=1-984	YNL290W
2249	OG0002249	genemark-LAQU0S07-processed-gene-0.59-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.59&CDS=1-783	YNL289W
2250	OG0002250	genemark-LAQU0S07-processed-gene-0.62-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.62&CDS=1-987	YNL288W
2251	OG0002251	genemark-LAQU0S07-processed-gene-0.63-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.63&CDS=1-2799	YNL287W
2252	OG0002252	snap_masked-LAQU0S07-processed-gene-0.114-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.114&CDS=1-891	YNL286W
2253	OG0002253	genemark-LAQU0S07-processed-gene-0.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.86&CDS=1-993	YBR037C
2254	OG0002254	snap_masked-LAQU0S07-processed-gene-0.116-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.116&CDS=1-1350	YDR219C
2255	OG0002255	genemark-LAQU0S07-processed-gene-0.68-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.68&CDS=1-1149	YLR226W
2256	OG0002256	snap_masked-LAQU0S07-processed-gene-0.138-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.138&CDS=1-1353	YLR227C
2257	OG0002257	snap_masked-LAQU0S07-processed-gene-0.118-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-0.118&CDS=1-3453	YDR217C
2258	OG0002258	genemark-LAQU0S07-processed-gene-1.48-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.48&CDS=1-3318	YDR216W
2259	OG0002259	genemark-LAQU0S07-processed-gene-1.68-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.68&CDS=1-1812	YNL115C
2260	OG0002260	genemark-LAQU0S07-processed-gene-1.69-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.69&CDS=1-1866	YHR114W
2261	OG0002261	genemark-LAQU0S07-processed-gene-1.51-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.51&CDS=1-756	YOR115C
2262	OG0002262	snap_masked-LAQU0S07-processed-gene-1.115-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.115&CDS=1-807	YOR114W
2263	OG0002263	snap_masked-LAQU0S07-processed-gene-1.116-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.116&CDS=1-2307	YOR113W
2264	OG0002264	genemark-LAQU0S07-processed-gene-1.72-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.72&CDS=1-1073	YMR139W
2265	OG0002265	genemark-LAQU0S07-processed-gene-1.75-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.75&CDS=1-597	YMR138W
2266	OG0002266	snap_masked-LAQU0S07-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.98&CDS=1-1785	YMR137C
2267	OG0002267	genemark-LAQU0S07-processed-gene-1.54-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.54&CDS=1-1155	YMR135C
2268	OG0002268	genemark-LAQU0S07-processed-gene-1.77-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.77&CDS=1-729	YMR134W
2269	OG0002269	genemark-LAQU0S07-processed-gene-1.56-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.56&CDS=1-612	YMR132C
2270	OG0002270	genemark-LAQU0S07-processed-gene-1.57-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.57&CDS=1-1566	YMR131C
2271	OG0002271	snap_masked-LAQU0S07-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.102&CDS=1-2991	YLR039C
2272	OG0002272	snap_masked-LAQU0S07-processed-gene-1.103-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.103&CDS=1-246	YLR038C
2273	OG0002273	genemark-LAQU0S07-processed-gene-1.79-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.79&CDS=1-936	YMR130W
2274	OG0002274	genemark-LAQU0S07-processed-gene-1.80-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.80&CDS=1-3807	YMR129W
2275	OG0002275	genemark-LAQU0S07-processed-gene-1.81-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.81&CDS=1-5169	YMR128W
2276	OG0002276	genemark-LAQU0S07-processed-gene-1.60-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.60&CDS=1-942	YMR127C
2277	OG0002277	genemark-LAQU0S07-processed-gene-1.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.82&CDS=1-3447	YLR032W
2278	OG0002278	genemark-LAQU0S07-processed-gene-1.61-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.61&CDS=1-1068	YMR126C
2279	OG0002279	genemark-LAQU0S07-processed-gene-1.83-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.83&CDS=1-2583	YMR125W
2280	OG0002280	snap_masked-LAQU0S07-processed-gene-1.131-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.131&CDS=1-2775	YMR124W
2281	OG0002281	genemark-LAQU0S07-processed-gene-1.85-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.85&CDS=1-357	YMR123W
2282	OG0002282	genemark-LAQU0S07-processed-gene-1.65-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.65&CDS=1-1773	YMR120C
2283	OG0002283	genemark-LAQU0S07-processed-gene-1.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.86&CDS=1-1920	YMR119W
2284	OG0002284	genemark-LAQU0S07-processed-gene-1.87-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.87&CDS=1-573	YGR016W
2285	OG0002285	genemark-LAQU0S07-processed-gene-1.66-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.66&CDS=1-930	YGR015C
2286	OG0002286	snap_masked-LAQU0S07-processed-gene-1.136-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-1.136&CDS=1-1680	YGR013W
2287	OG0002287	genemark-LAQU0S07-processed-gene-1.90-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.90&CDS=1-1191	YGR012W
2288	OG0002288	augustus_masked-LAQU0S07-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.7&CDS=1-258	YGR008C
2289	OG0002289	augustus_masked-LAQU0S07-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.10&CDS=1-2466	YGR007W
2290	OG0002290	genemark-LAQU0S07-processed-gene-2.100-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.100&CDS=1-1398	YGR005C
2291	OG0002291	genemark-LAQU0S07-processed-gene-2.104-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.104&CDS=1-1566	YLR324W
2292	OG0002292	genemark-LAQU0S07-processed-gene-2.105-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.105&CDS=1-747	YLR323C
2293	OG0002293	snap_masked-LAQU0S07-processed-gene-2.73-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.73&CDS=1-2181	YGR003W
2294	OG0002294	genemark-LAQU0S07-processed-gene-2.106-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.106&CDS=1-1374	YGR002C
2295	OG0002295	snap_masked-LAQU0S07-processed-gene-2.74-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.74&CDS=1-4323	YLR320W
2296	OG0002296	genemark-LAQU0S07-processed-gene-2.107-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.107&CDS=1-2148	YLR319C
2297	OG0002297	snap_masked-LAQU0S07-processed-gene-2.75-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.75&CDS=1-2712	YLR318W
2298	OG0002298	genemark-LAQU0S07-processed-gene-2.108-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.108&CDS=1-969	YLR316C
2299	OG0002299	genemark-LAQU0S07-processed-gene-2.127-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.127&CDS=1-1080	YLR321C
2300	OG0002300	maker-LAQU0S07-augustus-gene-2.94-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-2.94&CDS=1-624	YAL003W
2301	OG0002301	snap_masked-LAQU0S07-processed-gene-2.58-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.58&CDS=1-3726	YAL002W
2302	OG0002302	genemark-LAQU0S07-processed-gene-2.128-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.128&CDS=1-1053	YGL001C
2303	OG0002303	maker-LAQU0S07-snap-gene-2.5-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-2.5&CDS=1-711	YGR001C
2304	OG0002304	augustus_masked-LAQU0S07-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.17&CDS=1-4710	YAL001C
2305	OG0002305	genemark-LAQU0S07-processed-gene-2.130-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.130&CDS=1-657	YAR002C-A
2306	OG0002306	augustus_masked-LAQU0S07-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.18&CDS=1-2955	YGL003C
2307	OG0002307	genemark-LAQU0S07-processed-gene-2.132-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.132&CDS=1-1875	YAR007C
2308	OG0002308	genemark-LAQU0S07-processed-gene-2.113-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.113&CDS=1-1227	YGL004C
2309	OG0002309	snap_masked-LAQU0S07-processed-gene-2.63-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.63&CDS=1-762	YGL005C
2310	OG0002310	genemark-LAQU0S07-processed-gene-2.133-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.133&CDS=1-3714	YGL006W
2311	OG0002311	genemark-LAQU0S07-processed-gene-2.115-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.115&CDS=1-855	YAR008W
2312	OG0002312	genemark-LAQU0S07-processed-gene-2.116-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.116&CDS=1-2703	YGL008C
2313	OG0002313	maker-LAQU0S07-snap-gene-2.3-mRNA-1_1&gene=maker-LAQU0S07-snap-gene-2.3&CDS=1-3507	YGL012W
2314	OG0002314	snap_masked-LAQU0S07-processed-gene-2.68-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.68&CDS=1-600	YBL006C
2315	OG0002315	genemark-LAQU0S07-processed-gene-2.137-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.137&CDS=1-738	YGL011C
2316	OG0002316	genemark-LAQU0S07-processed-gene-2.120-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.120&CDS=1-507	YGL010W
2317	OG0002317	genemark-LAQU0S07-processed-gene-2.121-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.121&CDS=1-3741	YBL007C
2318	OG0002318	genemark-LAQU0S07-processed-gene-2.138-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.138&CDS=1-2349	YGL009C
2319	OG0002319	snap_masked-LAQU0S07-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-2.88&CDS=1-2556	YBL008W
2320	OG0002320	genemark-LAQU0S07-processed-gene-2.141-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.141&CDS=1-4698	YGL016W
2321	OG0002321	genemark-LAQU0S07-processed-gene-2.122-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.122&CDS=1-558	YGL018C
2322	OG0002322	genemark-LAQU0S07-processed-gene-2.142-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-2.142&CDS=1-750	YGL019W
2323	OG0002323	augustus_masked-LAQU0S07-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-2.27&CDS=1-585	YGL020C
2324	OG0002324	snap_masked-LAQU0S07-processed-gene-3.2-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.2&CDS=1-1884	YBL009W
2325	OG0002325	snap_masked-LAQU0S07-processed-gene-3.0-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.0&CDS=1-720	YBL010C
2326	OG0002326	genemark-LAQU0S07-processed-gene-3.77-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.77&CDS=1-2190	YGL022W
2327	OG0002327	augustus_masked-LAQU0S07-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.148&CDS=1-1560	YGL023C
2328	OG0002328	genemark-LAQU0S07-processed-gene-3.79-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.79&CDS=1-1140	YBL013W
2329	OG0002329	genemark-LAQU0S07-processed-gene-3.82-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.82&CDS=1-2127	YGL026C
2330	OG0002330	snap_masked-LAQU0S07-processed-gene-3.8-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.8&CDS=1-2697	YBL014C
2331	OG0002331	genemark-LAQU0S07-processed-gene-3.84-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.84&CDS=1-2412	YGL027C
2332	OG0002332	genemark-LAQU0S07-processed-gene-3.85-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.85&CDS=1-1782	YGL028C
2333	OG0002333	genemark-LAQU0S07-processed-gene-3.117-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.117&CDS=1-396	YGL029W
2334	OG0002334	genemark-LAQU0S07-processed-gene-3.86-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.86&CDS=1-2613	YGR150C
2335	OG0002335	genemark-LAQU0S07-processed-gene-3.118-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.118&CDS=1-1212	YGR149W
2336	OG0002336	genemark-LAQU0S07-processed-gene-3.88-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.88&CDS=1-2088	YLL019C
2337	OG0002337	genemark-LAQU0S07-processed-gene-3.120-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.120&CDS=1-1599	YGL172W
2338	OG0002338	augustus_masked-LAQU0S07-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.158&CDS=1-4467	YGL173C
2339	OG0002339	genemark-LAQU0S07-processed-gene-3.121-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.121&CDS=1-810	YGL174W
2340	OG0002340	snap_masked-LAQU0S07-processed-gene-3.14-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.14&CDS=1-1086	YGL175C
2341	OG0002341	genemark-LAQU0S07-processed-gene-3.122-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.122&CDS=1-2640	YPR021C
2342	OG0002342	genemark-LAQU0S07-processed-gene-3.123-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.123&CDS=1-873	YPR023C
2343	OG0002343	snap_masked-LAQU0S07-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.49&CDS=1-1668	YER124C
2344	OG0002344	genemark-LAQU0S07-processed-gene-3.92-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.92&CDS=1-2373	YER125W
2345	OG0002345	snap_masked-LAQU0S07-processed-gene-3.17-mRNA-1_1&gene=snap_masked-LAQU0S07-processed-gene-3.17&CDS=1-1506	YGL176C
2346	OG0002346	genemark-LAQU0S07-processed-gene-3.125-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.125&CDS=1-2151	YGL178W
2347	OG0002347	genemark-LAQU0S07-processed-gene-3.126-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.126&CDS=1-783	YER126C
2348	OG0002348	genemark-LAQU0S07-processed-gene-3.94-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.94&CDS=1-1119	YER127W
2349	OG0002349	genemark-LAQU0S07-processed-gene-3.95-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.95&CDS=1-618	YER128W
2350	OG0002350	genemark-LAQU0S07-processed-gene-3.96-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.96&CDS=1-3426	YER129W
2351	OG0002351	genemark-LAQU0S07-processed-gene-3.127-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.127&CDS=1-2616	YGL180W
2352	OG0002352	genemark-LAQU0S07-processed-gene-3.128-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.128&CDS=1-1059	YGL181W
2353	OG0002353	augustus_masked-LAQU0S07-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-LAQU0S07-processed-gene-3.166&CDS=1-687	YGL183C
2354	OG0002354	genemark-LAQU0S07-processed-gene-3.129-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.129&CDS=1-1164	YER130C
2355	OG0002355	genemark-LAQU0S07-processed-gene-3.98-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.98&CDS=1-1380	YGL184C
2356	OG0002356	maker-LAQU0S07-augustus-gene-3.68-mRNA-1_1&gene=maker-LAQU0S07-augustus-gene-3.68&CDS=1-2805	YGL186C
2357	OG0002357	genemark-LAQU0S07-processed-gene-3.101-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.101&CDS=1-648	YGL187C
2358	OG0002358	genemark-LAQU0S07-processed-gene-3.103-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-3.103&CDS=1-1383	YGL190C
