	OrthologID	Naumovozyma_castellii	Saccharomyces_cerevisiae
2073	OG0002073	snap_masked-HE576754-processed-gene-1.126-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-1.126&CDS=1-1059	YMR226C
2074	OG0002074	augustus_masked-HE576754-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-1.80&CDS=1-1347	YMR220W
2075	OG0002075	augustus_masked-HE576754-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-1.81&CDS=1-4446	YMR219W
2076	OG0002076	augustus_masked-HE576754-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.0&CDS=1-5169	YMR218C
2077	OG0002077	augustus_masked-HE576754-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.2&CDS=1-1539	YMR215W
2078	OG0002078	augustus_masked-HE576754-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.3&CDS=1-1779	YMR213W
2079	OG0002079	augustus_masked-HE576754-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.1&CDS=1-2232	YMR212C
2080	OG0002080	augustus_masked-HE576754-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.22&CDS=1-1410	YMR211W
2081	OG0002081	genemark-HE576754-processed-gene-2.127-mRNA-1_1&gene=genemark-HE576754-processed-gene-2.127&CDS=1-1335	YMR210W
2082	OG0002082	augustus_masked-HE576754-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.4&CDS=1-1332	YMR209C
2083	OG0002083	augustus_masked-HE576754-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.24&CDS=1-1275	YMR208W
2084	OG0002084	augustus_masked-HE576754-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.6&CDS=1-1011	YOR261C
2085	OG0002085	maker-HE576754-snap-gene-2.50-mRNA-1_1&gene=maker-HE576754-snap-gene-2.50&CDS=1-1290	YPL172C
2086	OG0002086	augustus_masked-HE576754-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.25&CDS=1-906	YPL173W
2087	OG0002087	augustus_masked-HE576754-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.26&CDS=1-462	YOR257W
2088	OG0002088	snap_masked-HE576754-processed-gene-2.61-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.61&CDS=1-2577	YPL174C
2089	OG0002089	snap_masked-HE576754-processed-gene-2.80-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.80&CDS=1-1335	YPL175W
2090	OG0002090	augustus_masked-HE576754-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.9&CDS=1-2337	YOR256C
2091	OG0002091	augustus_masked-HE576754-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.10&CDS=1-468	YPL170W
2092	OG0002092	augustus_masked-HE576754-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.28&CDS=1-777	YOR255W
2093	OG0002093	augustus_masked-HE576754-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.29&CDS=1-1746	YPL169C
2094	OG0002094	augustus_masked-HE576754-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.11&CDS=1-2007	YOR254C
2095	OG0002095	snap_masked-HE576754-processed-gene-2.65-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.65&CDS=1-1206	YPL168W
2096	OG0002096	augustus_masked-HE576754-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.31&CDS=1-4419	YPL167C
2097	OG0002097	augustus_masked-HE576754-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.13&CDS=1-579	YPL166W
2098	OG0002098	genemark-HE576754-processed-gene-2.136-mRNA-1_1&gene=genemark-HE576754-processed-gene-2.136&CDS=1-1035	YPL165C
2099	OG0002099	snap_masked-HE576754-processed-gene-2.85-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.85&CDS=1-2163	YPL164C
2100	OG0002100	augustus_masked-HE576754-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.34&CDS=1-864	YPL162C
2101	OG0002101	genemark-HE576754-processed-gene-2.140-mRNA-1_1&gene=genemark-HE576754-processed-gene-2.140&CDS=1-771	YPL159C
2102	OG0002102	snap_masked-HE576754-processed-gene-2.89-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.89&CDS=1-1971	YPL158C
2103	OG0002103	augustus_masked-HE576754-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.14&CDS=1-933	YPL157W
2104	OG0002104	augustus_masked-HE576754-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.36&CDS=1-2661	YPL155C
2105	OG0002105	augustus_masked-HE576754-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.37&CDS=1-1218	YPL154C
2106	OG0002106	augustus_masked-HE576754-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.38&CDS=1-2397	YPL153C
2107	OG0002107	snap_masked-HE576754-processed-gene-2.68-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.68&CDS=1-663	YPL121C
2108	OG0002108	augustus_masked-HE576754-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.16&CDS=1-1548	YPL122C
2109	OG0002109	augustus_masked-HE576754-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.17&CDS=1-1308	YPL123C
2110	OG0002110	maker-HE576754-snap-gene-2.51-mRNA-1_1&gene=maker-HE576754-snap-gene-2.51&CDS=1-2394	YOR208W
2111	OG0002111	augustus_masked-HE576754-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.40&CDS=1-3087	YPL125W
2112	OG0002112	augustus_masked-HE576754-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.41&CDS=1-1293	YOR209C
2113	OG0002113	augustus_masked-HE576754-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.42&CDS=1-2619	YPL126W
2114	OG0002114	augustus_masked-HE576754-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.19&CDS=1-729	YPL127C
2115	OG0002115	augustus_masked-HE576754-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.20&CDS=1-1779	YPL128C
2116	OG0002116	augustus_masked-HE576754-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.43&CDS=1-723	YPL129W
2117	OG0002117	snap_masked-HE576754-processed-gene-2.99-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-2.99&CDS=1-777	YPL130W
2118	OG0002118	augustus_masked-HE576754-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.45&CDS=1-2727	YOR219C
2119	OG0002119	augustus_masked-HE576754-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.46&CDS=1-891	YPL131W
2120	OG0002120	genemark-HE576754-processed-gene-2.154-mRNA-1_1&gene=genemark-HE576754-processed-gene-2.154&CDS=1-873	YPL132W
2121	OG0002121	augustus_masked-HE576754-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-2.21&CDS=1-1221	YPL133C
2122	OG0002122	augustus_masked-HE576754-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.116&CDS=1-1299	YPL145C
2123	OG0002123	augustus_masked-HE576754-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.118&CDS=1-1392	YPL146C
2124	OG0002124	snap_masked-HE576754-processed-gene-3.62-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.62&CDS=1-504	YPL148C
2125	OG0002125	augustus_masked-HE576754-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.138&CDS=1-855	YPL149W
2126	OG0002126	augustus_masked-HE576754-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.139&CDS=1-2688	YPL150W
2127	OG0002127	augustus_masked-HE576754-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.122&CDS=1-1293	YPL151C
2128	OG0002128	augustus_masked-HE576754-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.140&CDS=1-1077	YPL152W
2129	OG0002129	augustus_masked-HE576754-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.123&CDS=1-1491	YPL120W
2130	OG0002130	augustus_masked-HE576754-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.124&CDS=1-1065	YPL118W
2131	OG0002131	augustus_masked-HE576754-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.143&CDS=1-828	YPL117C
2132	OG0002132	augustus_masked-HE576754-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.125&CDS=1-2100	YPL116W
2133	OG0002133	augustus_masked-HE576754-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.145&CDS=1-3489	YPL115C
2134	OG0002134	augustus_masked-HE576754-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.126&CDS=1-726	YOR194C
2135	OG0002135	augustus_masked-HE576754-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.146&CDS=1-1155	YPL113C
2136	OG0002136	augustus_masked-HE576754-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.147&CDS=1-1125	YPL112C
2137	OG0002137	augustus_masked-HE576754-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.127&CDS=1-996	YPL111W
2138	OG0002138	snap_masked-HE576754-processed-gene-3.92-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.92&CDS=1-3399	YPL110C
2139	OG0002139	maker-HE576754-augustus-gene-3.52-mRNA-1_1&gene=maker-HE576754-augustus-gene-3.52&CDS=1-2433	YPL109C
2140	OG0002140	snap_masked-HE576754-processed-gene-3.70-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.70&CDS=1-423	YPL108W
2141	OG0002141	augustus_masked-HE576754-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.129&CDS=1-687	YPL107W
2142	OG0002142	genemark-HE576754-processed-gene-3.40-mRNA-1_1&gene=genemark-HE576754-processed-gene-3.40&CDS=1-2025	YPL106C
2143	OG0002143	augustus_masked-HE576754-processed-gene-3.150-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.150&CDS=1-2394	YPL105C
2144	OG0002144	augustus_masked-HE576754-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.130&CDS=1-1974	YPL104W
2145	OG0002145	augustus_masked-HE576754-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.151&CDS=1-1350	YPL103C
2146	OG0002146	augustus_masked-HE576754-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.131&CDS=1-1305	YPL100W
2147	OG0002147	genemark-HE576754-processed-gene-3.43-mRNA-1_1&gene=genemark-HE576754-processed-gene-3.43&CDS=1-519	YPL099C
2148	OG0002148	augustus_masked-HE576754-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.132&CDS=1-1053	YPL096W
2149	OG0002149	augustus_masked-HE576754-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.153&CDS=1-792	YPL094C
2150	OG0002150	maker-HE576754-augustus-gene-3.50-mRNA-1_1&gene=maker-HE576754-augustus-gene-3.50&CDS=1-2856	YPL091W
2151	OG0002151	augustus_masked-HE576754-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.155&CDS=1-1662	YPL089C
2152	OG0002152	snap_masked-HE576754-processed-gene-3.78-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.78&CDS=1-6282	YPL085W
2153	OG0002153	snap_masked-HE576754-processed-gene-3.79-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-3.79&CDS=1-1665	YBR186W
2154	OG0002154	augustus_masked-HE576754-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.156&CDS=1-5577	YPL082C
2155	OG0002155	augustus_masked-HE576754-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-3.157&CDS=1-726	YPL078C
2156	OG0002156	augustus_masked-HE576754-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.0&CDS=1-849	YPL076W
2157	OG0002157	genemark-HE576754-processed-gene-4.95-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.95&CDS=1-3426	YPL075W
2158	OG0002158	genemark-HE576754-processed-gene-4.96-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.96&CDS=1-2274	YPL074W
2159	OG0002159	augustus_masked-HE576754-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.2&CDS=1-1884	YPL070W
2160	OG0002160	augustus_masked-HE576754-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.20&CDS=1-978	YPL069C
2161	OG0002161	augustus_masked-HE576754-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.3&CDS=1-1362	YPL066W
2162	OG0002162	augustus_masked-HE576754-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.4&CDS=1-711	YPL065W
2163	OG0002163	augustus_masked-HE576754-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.22&CDS=1-897	YPL064C
2164	OG0002164	augustus_masked-HE576754-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.5&CDS=1-1473	YPL063W
2165	OG0002165	augustus_masked-HE576754-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.6&CDS=1-1497	YPL061W
2166	OG0002166	genemark-HE576754-processed-gene-4.104-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.104&CDS=1-1218	YPL060W
2167	OG0002167	genemark-HE576754-processed-gene-4.105-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.105&CDS=1-393	YPL059W
2168	OG0002168	augustus_masked-HE576754-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.23&CDS=1-4524	YPL058C
2169	OG0002169	genemark-HE576754-processed-gene-4.107-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.107&CDS=1-942	YPL054W
2170	OG0002170	snap_masked-HE576754-processed-gene-4.54-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-4.54&CDS=1-669	YPL052W
2171	OG0002171	genemark-HE576754-processed-gene-4.109-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.109&CDS=1-597	YPL051W
2172	OG0002172	augustus_masked-HE576754-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.27&CDS=1-1179	YPL050C
2173	OG0002173	genemark-HE576754-processed-gene-4.111-mRNA-1_1&gene=genemark-HE576754-processed-gene-4.111&CDS=1-297	YPL047W
2174	OG0002174	augustus_masked-HE576754-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.28&CDS=1-297	YPL046C
2175	OG0002175	augustus_masked-HE576754-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.11&CDS=1-4473	YPL043W
2176	OG0002176	augustus_masked-HE576754-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.29&CDS=1-1824	YPL042C
2177	OG0002177	maker-HE576754-augustus-gene-4.92-mRNA-1_1&gene=maker-HE576754-augustus-gene-4.92&CDS=1-3405	YPL040C
2178	OG0002178	snap_masked-HE576754-processed-gene-4.60-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-4.60&CDS=1-816	YPL039W
2179	OG0002179	augustus_masked-HE576754-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.12&CDS=1-597	YDR253C
2180	OG0002180	augustus_masked-HE576754-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.32&CDS=1-1029	YPL088W
2181	OG0002181	augustus_masked-HE576754-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.33&CDS=1-2661	YPL032C
2182	OG0002182	snap_masked-HE576754-processed-gene-4.85-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-4.85&CDS=1-933	YPL031C
2183	OG0002183	augustus_masked-HE576754-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.13&CDS=1-4953	YPL029W
2184	OG0002184	augustus_masked-HE576754-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.14&CDS=1-714	YPL024W
2185	OG0002185	augustus_masked-HE576754-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.36&CDS=1-1989	YPL023C
2186	OG0002186	augustus_masked-HE576754-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.15&CDS=1-3279	YPL022W
2187	OG0002187	augustus_masked-HE576754-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.37&CDS=1-3834	YPL016W
2188	OG0002188	augustus_masked-HE576754-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.38&CDS=1-951	YDL209C
2189	OG0002189	augustus_masked-HE576754-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.16&CDS=1-1515	YDL207W
2190	OG0002190	snap_masked-HE576754-processed-gene-4.67-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-4.67&CDS=1-2136	YDL206W
2191	OG0002191	augustus_masked-HE576754-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-4.39&CDS=1-1005	YDL205C
2192	OG0002192	augustus_masked-HE576754-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.49&CDS=1-1587	YDL203C
2193	OG0002193	augustus_masked-HE576754-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.47&CDS=1-765	YDL202W
2194	OG0002194	augustus_masked-HE576754-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.48&CDS=1-873	YDL201W
2195	OG0002195	augustus_masked-HE576754-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.50&CDS=1-639	YDL200C
2196	OG0002196	genemark-HE576754-processed-gene-5.85-mRNA-1_1&gene=genemark-HE576754-processed-gene-5.85&CDS=1-3669	YDL198C
2197	OG0002197	augustus_masked-HE576754-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.53&CDS=1-2877	YLR219W
2198	OG0002198	augustus_masked-HE576754-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.54&CDS=1-819	YLR220W
2199	OG0002199	augustus_masked-HE576754-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.71&CDS=1-645	YLR221C
2200	OG0002200	augustus_masked-HE576754-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.72&CDS=1-2445	YLR222C
2201	OG0002201	augustus_masked-HE576754-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.57&CDS=1-1473	YLR227C
2202	OG0002202	augustus_masked-HE576754-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.73&CDS=1-1239	YLR226W
2203	OG0002203	augustus_masked-HE576754-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.58&CDS=1-2907	YLR223C
2204	OG0002204	augustus_masked-HE576754-processed-gene-5.59-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.59&CDS=1-1989	YLR234W
2205	OG0002205	augustus_masked-HE576754-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.61&CDS=1-1056	YDR202C
2206	OG0002206	augustus_masked-HE576754-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.62&CDS=1-1377	YLR238W
2207	OG0002207	augustus_masked-HE576754-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.75&CDS=1-963	YLR239C
2208	OG0002208	augustus_masked-HE576754-processed-gene-5.63-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.63&CDS=1-4866	YLR240W
2209	OG0002209	augustus_masked-HE576754-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.64&CDS=1-2187	YDR190C
2210	OG0002210	maker-HE576754-augustus-gene-5.121-mRNA-1_1&gene=maker-HE576754-augustus-gene-5.121&CDS=1-1947	YDR189W
2211	OG0002211	maker-HE576754-augustus-gene-5.122-mRNA-1_1&gene=maker-HE576754-augustus-gene-5.122&CDS=1-2775	YDR188W
2212	OG0002212	augustus_masked-HE576754-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.78&CDS=1-453	YLR245C
2213	OG0002213	augustus_masked-HE576754-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.66&CDS=1-2781	YLR166C
2214	OG0002214	genemark-HE576754-processed-gene-5.103-mRNA-1_1&gene=genemark-HE576754-processed-gene-5.103&CDS=1-753	YLR165C
2215	OG0002215	augustus_masked-HE576754-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.68&CDS=1-1383	YLR163C
2216	OG0002216	augustus_masked-HE576754-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.69&CDS=1-2082	YDR314C
2217	OG0002217	augustus_masked-HE576754-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.79&CDS=1-699	YIR038C
2218	OG0002218	augustus_masked-HE576754-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.80&CDS=1-2109	YOL060C
2219	OG0002219	augustus_masked-HE576754-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.91&CDS=1-1038	YLR151C
2220	OG0002220	snap_masked-HE576754-processed-gene-6.52-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.52&CDS=1-1176	YDR169C
2221	OG0002221	augustus_masked-HE576754-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.94&CDS=1-2301	YLR149C
2222	OG0002222	augustus_masked-HE576754-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.109&CDS=1-2904	YLR148W
2223	OG0002223	augustus_masked-HE576754-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.95&CDS=1-306	YLR147C
2224	OG0002224	augustus_masked-HE576754-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.96&CDS=1-906	YLR146C
2225	OG0002225	augustus_masked-HE576754-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.110&CDS=1-621	YLR145W
2226	OG0002226	augustus_masked-HE576754-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.97&CDS=1-2631	YLR144C
2227	OG0002227	augustus_masked-HE576754-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.112&CDS=1-2067	YLR143W
2228	OG0002228	snap_masked-HE576754-processed-gene-6.75-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.75&CDS=1-2121	YLR142W
2229	OG0002229	snap_masked-HE576754-processed-gene-6.57-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.57&CDS=1-2274	YLR139C
2230	OG0002230	genemark-HE576754-processed-gene-6.27-mRNA-1_1&gene=genemark-HE576754-processed-gene-6.27&CDS=1-3951	YLR138W
2231	OG0002231	snap_masked-HE576754-processed-gene-6.78-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.78&CDS=1-2274	YLR135W
2232	OG0002232	augustus_masked-HE576754-processed-gene-6.116-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.116&CDS=1-1674	YLR133W
2233	OG0002233	augustus_masked-HE576754-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.99&CDS=1-1860	YLR131C
2234	OG0002234	augustus_masked-HE576754-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.100&CDS=1-1287	YLR130C
2235	OG0002235	augustus_masked-HE576754-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.117&CDS=1-2868	YLR129W
2236	OG0002236	maker-HE576754-augustus-gene-6.41-mRNA-1_1&gene=maker-HE576754-augustus-gene-6.41&CDS=1-807	YLR128W
2237	OG0002237	snap_masked-HE576754-processed-gene-6.60-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.60&CDS=1-2433	YLR127C
2238	OG0002238	genemark-HE576754-processed-gene-6.14-mRNA-1_1&gene=genemark-HE576754-processed-gene-6.14&CDS=1-1710	YDR143C
2239	OG0002239	snap_masked-HE576754-processed-gene-6.82-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-6.82&CDS=1-531	YLR119W
2240	OG0002240	maker-HE576754-augustus-gene-6.39-mRNA-1_1&gene=maker-HE576754-augustus-gene-6.39&CDS=1-2766	YLR117C
2241	OG0002241	augustus_masked-HE576754-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.120&CDS=1-1569	YLR116W
2242	OG0002242	augustus_masked-HE576754-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.121&CDS=1-2442	YLR115W
2243	OG0002243	augustus_masked-HE576754-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.104&CDS=1-2364	YLR114C
2244	OG0002244	augustus_masked-HE576754-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.122&CDS=1-1296	YLR113W
2245	OG0002245	augustus_masked-HE576754-processed-gene-6.105-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.105&CDS=1-396	YDR134C
2246	OG0002246	augustus_masked-HE576754-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.123&CDS=1-528	YLR109W
2247	OG0002247	augustus_masked-HE576754-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.124&CDS=1-1200	YLR107W
2248	OG0002248	augustus_masked-HE576754-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.107&CDS=1-14802	YLR106C
2249	OG0002249	augustus_masked-HE576754-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-6.108&CDS=1-1113	YLR105C
