	OrthologID	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
1263	OG0001263	snap_masked-ipo_s157-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.37&CDS=1-357	YKL137W
1264	OG0001264	snap_masked-ipo_s157-processed-gene-0.41-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.41&CDS=1-2553	YGL023C
1265	OG0001265	snap_masked-ipo_s157-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.43&CDS=1-2232	YGL022W
1266	OG0001266	snap_masked-ipo_s157-processed-gene-0.44-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.44&CDS=1-564	YGL010W
1267	OG0001267	snap_masked-ipo_s157-processed-gene-0.52-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.52&CDS=1-1557	YGL192W
1268	OG0001268	augustus_masked-ipo_s157-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ipo_s157-processed-gene-0.16&CDS=1-3747	YBL007C
1269	OG0001269	snap_masked-ipo_s157-processed-gene-0.45-mRNA-1_1&gene=snap_masked-ipo_s157-processed-gene-0.45&CDS=1-1755	YJR016C
1270	OG0001270	augustus_masked-ipo_s158-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ipo_s158-processed-gene-0.14&CDS=1-1767	YLR141W
1271	OG0001271	snap_masked-ipo_s158-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s158-processed-gene-0.4&CDS=1-513	YDR162C
1272	OG0001272	snap_masked-ipo_s158-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s158-processed-gene-0.1&CDS=1-693	YDR152W
1273	OG0001273	snap_masked-ipo_s159-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s159-processed-gene-0.38&CDS=1-924	YGR086C
1274	OG0001274	maker-ipo_s159-snap-gene-0.25-mRNA-1_1&gene=maker-ipo_s159-snap-gene-0.25&CDS=1-3390	YOR014W
1275	OG0001275	maker-ipo_s159-augustus-gene-0.1-mRNA-1_1&gene=maker-ipo_s159-augustus-gene-0.1&CDS=1-1563	YML056C
1276	OG0001276	genemark-ipo_s159-processed-gene-0.19-mRNA-1_1&gene=genemark-ipo_s159-processed-gene-0.19&CDS=1-480	YOR367W
1277	OG0001277	genemark-ipo_s16-processed-gene-0.14-mRNA-1_1&gene=genemark-ipo_s16-processed-gene-0.14&CDS=1-1185	YKL090W
1278	OG0001278	augustus_masked-ipo_s16-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-ipo_s16-processed-gene-0.44&CDS=1-984	YNL290W
1279	OG0001279	snap_masked-ipo_s16-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.57&CDS=1-441	YOR104W
1280	OG0001280	snap_masked-ipo_s16-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.74&CDS=1-1554	YNL291C
1281	OG0001281	snap_masked-ipo_s16-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.58&CDS=1-453	YPR168W
1282	OG0001282	snap_masked-ipo_s16-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.78&CDS=1-366	YDR511W
1283	OG0001283	snap_masked-ipo_s16-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.67&CDS=1-2343	YKL034W
1284	OG0001284	snap_masked-ipo_s16-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.81&CDS=1-1770	YPR155C
1285	OG0001285	snap_masked-ipo_s16-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.82&CDS=1-744	YGR135W
1286	OG0001286	snap_masked-ipo_s16-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.70&CDS=1-1539	YER078C
1287	OG0001287	snap_masked-ipo_s16-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.83&CDS=1-840	YGR132C
1288	OG0001288	snap_masked-ipo_s16-processed-gene-0.84-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.84&CDS=1-912	YLR220W
1289	OG0001289	snap_masked-ipo_s16-processed-gene-0.71-mRNA-1_1&gene=snap_masked-ipo_s16-processed-gene-0.71&CDS=1-630	YKL070W
1290	OG0001290	snap_masked-ipo_s160-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s160-processed-gene-0.12&CDS=1-1062	YPR128C
1291	OG0001291	snap_masked-ipo_s160-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s160-processed-gene-0.17&CDS=1-1551	YPR133C
1292	OG0001292	snap_masked-ipo_s160-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ipo_s160-processed-gene-0.15&CDS=1-1131	YPR129W
1293	OG0001293	snap_masked-ipo_s161-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s161-processed-gene-0.24&CDS=1-1107	YLR113W
1294	OG0001294	snap_masked-ipo_s161-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s161-processed-gene-0.36&CDS=1-978	YBL033C
1295	OG0001295	snap_masked-ipo_s161-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s161-processed-gene-0.33&CDS=1-1284	YNL051W
1296	OG0001296	snap_masked-ipo_s162-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.85&CDS=1-486	YDR231C
1297	OG0001297	snap_masked-ipo_s162-processed-gene-0.86-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.86&CDS=1-3180	YKL197C
1298	OG0001298	genemark-ipo_s162-processed-gene-0.64-mRNA-1_1&gene=genemark-ipo_s162-processed-gene-0.64&CDS=1-1050	YOL009C
1299	OG0001299	genemark-ipo_s162-processed-gene-0.44-mRNA-1_1&gene=genemark-ipo_s162-processed-gene-0.44&CDS=1-2811	YDR013W
1300	OG0001300	maker-ipo_s162-augustus-gene-0.4-mRNA-1_1&gene=maker-ipo_s162-augustus-gene-0.4&CDS=1-951	YMR116C
1301	OG0001301	snap_masked-ipo_s162-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.89&CDS=1-921	YKR026C
1302	OG0001302	augustus_masked-ipo_s162-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ipo_s162-processed-gene-0.28&CDS=1-2751	YDR062W
1303	OG0001303	maker-ipo_s162-augustus-gene-0.2-mRNA-1_1&gene=maker-ipo_s162-augustus-gene-0.2&CDS=1-1893	YLR006C
1304	OG0001304	snap_masked-ipo_s162-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.92&CDS=1-294	YER146W
1305	OG0001305	snap_masked-ipo_s162-processed-gene-0.93-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.93&CDS=1-1191	YER143W
1306	OG0001306	snap_masked-ipo_s162-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.113&CDS=1-1341	YER136W
1307	OG0001307	snap_masked-ipo_s162-processed-gene-0.114-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.114&CDS=1-1419	YFR006W
1308	OG0001308	snap_masked-ipo_s162-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.115&CDS=1-690	YDR071C
1309	OG0001309	snap_masked-ipo_s162-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.116&CDS=1-1167	YEL056W
1310	OG0001310	snap_masked-ipo_s162-processed-gene-0.117-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.117&CDS=1-2349	YPR003C
1311	OG0001311	maker-ipo_s162-augustus-gene-0.3-mRNA-1_1&gene=maker-ipo_s162-augustus-gene-0.3&CDS=1-2412	YPR004C
1312	OG0001312	genemark-ipo_s162-processed-gene-0.74-mRNA-1_1&gene=genemark-ipo_s162-processed-gene-0.74&CDS=1-2946	YKL015W
1313	OG0001313	snap_masked-ipo_s162-processed-gene-0.120-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.120&CDS=1-2247	YKL017C
1314	OG0001314	snap_masked-ipo_s162-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.123&CDS=1-450	YPL059W
1315	OG0001315	snap_masked-ipo_s162-processed-gene-0.104-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.104&CDS=1-2967	YKL205W
1316	OG0001316	snap_masked-ipo_s162-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.105&CDS=1-1614	YJL069C
1317	OG0001317	snap_masked-ipo_s162-processed-gene-0.107-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.107&CDS=1-243	YJL062W-A
1318	OG0001318	snap_masked-ipo_s162-processed-gene-0.127-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.127&CDS=1-2178	YAL043C
1319	OG0001319	snap_masked-ipo_s162-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ipo_s162-processed-gene-0.108&CDS=1-3216	YBR276C
1320	OG0001320	snap_masked-ipo_s163-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ipo_s163-processed-gene-0.7&CDS=1-2280	YML035C
1321	OG0001321	snap_masked-ipo_s163-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s163-processed-gene-0.2&CDS=1-945	YPL111W
1322	OG0001322	snap_masked-ipo_s163-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s163-processed-gene-0.3&CDS=1-3843	YPL110C
1323	OG0001323	snap_masked-ipo_s164-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.21&CDS=1-1254	YLR314C
1324	OG0001324	augustus_masked-ipo_s164-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-0.41&CDS=1-807	YLR421C
1325	OG0001325	snap_masked-ipo_s164-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.2&CDS=1-3258	YGL179C
1326	OG0001326	snap_masked-ipo_s164-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.23&CDS=1-2472	YGL180W
1327	OG0001327	snap_masked-ipo_s164-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.3&CDS=1-9333	YLL040C
1328	OG0001328	snap_masked-ipo_s164-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.24&CDS=1-1026	YBL013W
1329	OG0001329	maker-ipo_s164-augustus-gene-0.38-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-0.38&CDS=1-2334	YGL026C
1330	OG0001330	augustus_masked-ipo_s164-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-0.64&CDS=1-2604	YBL014C
1331	OG0001331	snap_masked-ipo_s164-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.9&CDS=1-2874	YDL095W
1332	OG0001332	snap_masked-ipo_s164-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.10&CDS=1-3510	YIL030C
1333	OG0001333	snap_masked-ipo_s164-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.26&CDS=1-474	YML098W
1334	OG0001334	snap_masked-ipo_s164-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.27&CDS=1-615	YGL047W
1335	OG0001335	augustus_masked-ipo_s164-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-0.51&CDS=1-1404	YML080W
1336	OG0001336	snap_masked-ipo_s164-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.13&CDS=1-693	YLR118C
1337	OG0001337	snap_masked-ipo_s164-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.14&CDS=1-5001	YDR141C
1338	OG0001338	snap_masked-ipo_s164-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.28&CDS=1-972	YNR054C
1339	OG0001339	snap_masked-ipo_s164-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.29&CDS=1-357	YFL014W
1340	OG0001340	snap_masked-ipo_s164-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.16&CDS=1-2457	YLL034C
1341	OG0001341	snap_masked-ipo_s164-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.17&CDS=1-966	YGR031W
1342	OG0001342	maker-ipo_s164-augustus-gene-0.40-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-0.40&CDS=1-2505	YLR351C
1343	OG0001343	snap_masked-ipo_s164-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.19&CDS=1-1845	YPL222W
1344	OG0001344	augustus_masked-ipo_s164-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-0.73&CDS=1-759	YER120W
1345	OG0001345	snap_masked-ipo_s164-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.36&CDS=1-1272	YBL091C
1346	OG0001346	snap_masked-ipo_s164-processed-gene-1.106-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.106&CDS=1-1794	YNL048W
1347	OG0001347	snap_masked-ipo_s164-processed-gene-1.107-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.107&CDS=1-2703	YGL137W
1348	OG0001348	snap_masked-ipo_s164-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.112&CDS=1-1482	YKR072C
1349	OG0001349	maker-ipo_s164-augustus-gene-1.1-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.1&CDS=1-1227	YPL048W
1350	OG0001350	maker-ipo_s164-augustus-gene-1.2-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.2&CDS=1-3027	YPL093W
1351	OG0001351	snap_masked-ipo_s164-processed-gene-1.118-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.118&CDS=1-312	YGL080W
1352	OG0001352	snap_masked-ipo_s164-processed-gene-1.119-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.119&CDS=1-699	YIR030C
1353	OG0001353	snap_masked-ipo_s164-processed-gene-1.120-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.120&CDS=1-879	YPL196W
1354	OG0001354	snap_masked-ipo_s164-processed-gene-1.141-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.141&CDS=1-1818	YGL125W
1355	OG0001355	snap_masked-ipo_s164-processed-gene-1.121-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.121&CDS=1-2913	YGR047C
1356	OG0001356	augustus_masked-ipo_s164-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.20&CDS=1-519	YAL033W
1357	OG0001357	snap_masked-ipo_s164-processed-gene-1.124-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.124&CDS=1-1410	YMR283C
1358	OG0001358	snap_masked-ipo_s164-processed-gene-1.125-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.125&CDS=1-762	YHR049W
1359	OG0001359	snap_masked-ipo_s164-processed-gene-1.126-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.126&CDS=1-1611	YBR236C
1360	OG0001360	snap_masked-ipo_s164-processed-gene-1.144-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.144&CDS=1-1275	YOL065C
1361	OG0001361	snap_masked-ipo_s164-processed-gene-1.127-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.127&CDS=1-1551	YDL030W
1362	OG0001362	augustus_masked-ipo_s164-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.26&CDS=1-1776	YOL066C
1363	OG0001363	snap_masked-ipo_s164-processed-gene-1.145-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.145&CDS=1-1554	YNL294C
1364	OG0001364	maker-ipo_s164-augustus-gene-1.3-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.3&CDS=1-234	YJL205C
1365	OG0001365	snap_masked-ipo_s164-processed-gene-1.148-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.148&CDS=1-2277	YDL040C
1366	OG0001366	snap_masked-ipo_s164-processed-gene-1.149-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.149&CDS=1-1734	YOR027W
1367	OG0001367	snap_masked-ipo_s164-processed-gene-1.150-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.150&CDS=1-1008	YHL009C
1368	OG0001368	snap_masked-ipo_s164-processed-gene-1.132-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.132&CDS=1-1182	YIL044C
1369	OG0001369	snap_masked-ipo_s164-processed-gene-1.152-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.152&CDS=1-915	YER053C
1370	OG0001370	snap_masked-ipo_s164-processed-gene-1.153-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.153&CDS=1-1434	YLR004C
1371	OG0001371	snap_masked-ipo_s164-processed-gene-1.154-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.154&CDS=1-318	YBL001C
1372	OG0001372	snap_masked-ipo_s164-processed-gene-1.155-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.155&CDS=1-1095	YCR002C
1373	OG0001373	augustus_masked-ipo_s164-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.34&CDS=1-2382	YBR035C
1374	OG0001374	snap_masked-ipo_s164-processed-gene-1.159-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.159&CDS=1-1365	YPL011C
1375	OG0001375	snap_masked-ipo_s164-processed-gene-2.1-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.1&CDS=1-573	YPL010W
1376	OG0001376	augustus_masked-ipo_s164-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-2.33&CDS=1-1551	YPL020C
1377	OG0001377	snap_masked-ipo_s164-processed-gene-2.3-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.3&CDS=1-2586	YMR302C
1378	OG0001378	snap_masked-ipo_s164-processed-gene-2.4-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.4&CDS=1-1077	YGR028W
1379	OG0001379	snap_masked-ipo_s164-processed-gene-2.5-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.5&CDS=1-2946	YLR336C
1380	OG0001380	snap_masked-ipo_s164-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.20&CDS=1-3693	YFL008W
1381	OG0001381	snap_masked-ipo_s164-processed-gene-2.6-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.6&CDS=1-948	YEL037C
1382	OG0001382	snap_masked-ipo_s164-processed-gene-2.22-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.22&CDS=1-690	YEL038W
1383	OG0001383	snap_masked-ipo_s164-processed-gene-2.8-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.8&CDS=1-1170	YBL010C
1384	OG0001384	snap_masked-ipo_s164-processed-gene-2.9-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.9&CDS=1-1176	YGR012W
1385	OG0001385	snap_masked-ipo_s164-processed-gene-2.25-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.25&CDS=1-1356	YPL112C
1386	OG0001386	snap_masked-ipo_s164-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.26&CDS=1-1296	YDR531W
1387	OG0001387	snap_masked-ipo_s164-processed-gene-2.28-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.28&CDS=1-2490	YJL087C
1388	OG0001388	snap_masked-ipo_s164-processed-gene-2.10-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.10&CDS=1-1812	YJL085W
1389	OG0001389	snap_masked-ipo_s164-processed-gene-2.11-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.11&CDS=1-591	YGL096W
1390	OG0001390	snap_masked-ipo_s164-processed-gene-2.30-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.30&CDS=1-2619	YFL047W
1391	OG0001391	snap_masked-ipo_s164-processed-gene-2.14-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.14&CDS=1-825	YLR284C
1392	OG0001392	snap_masked-ipo_s164-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.15&CDS=1-2265	YHL023C
1393	OG0001393	snap_masked-ipo_s164-processed-gene-2.32-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.32&CDS=1-7296	YHR165C
1394	OG0001394	snap_masked-ipo_s164-processed-gene-2.18-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.18&CDS=1-1692	YMR296C
1395	OG0001395	snap_masked-ipo_s164-processed-gene-3.57-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.57&CDS=1-2337	YLR304C
1396	OG0001396	maker-ipo_s164-augustus-gene-3.0-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-3.0&CDS=1-1944	YPR069C
1397	OG0001397	snap_masked-ipo_s164-processed-gene-3.60-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.60&CDS=1-2100	YMR186W
1398	OG0001398	snap_masked-ipo_s164-processed-gene-3.73-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.73&CDS=1-3021	YMR185W
1399	OG0001399	snap_masked-ipo_s164-processed-gene-3.61-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.61&CDS=1-618	YPL239W
1400	OG0001400	snap_masked-ipo_s164-processed-gene-3.62-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.62&CDS=1-819	YPL237W
1401	OG0001401	snap_masked-ipo_s164-processed-gene-3.75-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.75&CDS=1-1062	YPL236C
1402	OG0001402	augustus_masked-ipo_s164-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-3.39&CDS=1-810	YPL246C
1403	OG0001403	snap_masked-ipo_s164-processed-gene-3.77-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.77&CDS=1-1155	YMR203W
1404	OG0001404	snap_masked-ipo_s164-processed-gene-3.66-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.66&CDS=1-2832	YMR205C
1405	OG0001405	snap_masked-ipo_s165-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s165-processed-gene-0.5&CDS=1-2496	YHR073W
1406	OG0001406	augustus_masked-ipo_s165-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ipo_s165-processed-gene-0.22&CDS=1-1722	YBR293W
1407	OG0001407	snap_masked-ipo_s166-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.6&CDS=1-1407	YIL096C
1408	OG0001408	snap_masked-ipo_s166-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.17&CDS=1-1425	YIL097W
1409	OG0001409	augustus_masked-ipo_s166-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.56&CDS=1-1551	YOL003C
1410	OG0001410	augustus_masked-ipo_s166-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.46&CDS=1-768	YOR362C
1411	OG0001411	snap_masked-ipo_s166-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.10&CDS=1-2181	YOR361C
1412	OG0001412	snap_masked-ipo_s166-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.19&CDS=1-360	YAL046C
1413	OG0001413	snap_masked-ipo_s166-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.11&CDS=1-1938	YAL048C
1414	OG0001414	snap_masked-ipo_s166-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.12&CDS=1-621	YOR294W
1415	OG0001415	augustus_masked-ipo_s166-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.51&CDS=1-3819	YOR296W
1416	OG0001416	snap_masked-ipo_s168-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.55&CDS=1-3141	YGR094W
1417	OG0001417	snap_masked-ipo_s168-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.57&CDS=1-1647	YGR091W
1418	OG0001418	snap_masked-ipo_s168-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.42&CDS=1-711	YGR095C
1419	OG0001419	snap_masked-ipo_s168-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.47&CDS=1-3291	YJR035W
1420	OG0001420	augustus_masked-ipo_s168-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ipo_s168-processed-gene-0.8&CDS=1-987	YML050W
1421	OG0001421	snap_masked-ipo_s168-processed-gene-0.49-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.49&CDS=1-1506	YKL043W
1422	OG0001422	snap_masked-ipo_s168-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.61&CDS=1-2517	YKL064W
1423	OG0001423	snap_masked-ipo_s169-processed-gene-0.161-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.161&CDS=1-1470	YPL262W
1424	OG0001424	snap_masked-ipo_s169-processed-gene-0.162-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.162&CDS=1-1530	YPL214C
1425	OG0001425	snap_masked-ipo_s169-processed-gene-0.163-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.163&CDS=1-936	YHR134W
1426	OG0001426	snap_masked-ipo_s169-processed-gene-0.167-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.167&CDS=1-1383	YHR111W
1427	OG0001427	snap_masked-ipo_s169-processed-gene-0.168-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.168&CDS=1-1200	YDR363W
1428	OG0001428	snap_masked-ipo_s169-processed-gene-0.204-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.204&CDS=1-624	YBL102W
1429	OG0001429	snap_masked-ipo_s169-processed-gene-0.205-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.205&CDS=1-441	YDL125C
1430	OG0001430	snap_masked-ipo_s169-processed-gene-0.169-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.169&CDS=1-2478	YDL126C
1431	OG0001431	snap_masked-ipo_s169-processed-gene-0.208-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.208&CDS=1-378	YOR122C
1432	OG0001432	snap_masked-ipo_s169-processed-gene-0.210-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.210&CDS=1-714	YPR183W
1433	OG0001433	snap_masked-ipo_s169-processed-gene-0.211-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.211&CDS=1-1983	YDL167C
