accession	strain	species	genus	family	order	class	subphylum	phylum	kingdom	superkingdom
WP_073950076.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_073690081.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_004182647.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_045772084.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049471892.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155198183.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002883996.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003092962.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_080005250.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_062200588.1	Streptococcus sp. DD04	Streptococcus sp. DD04	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_070476327.1	Streptococcus sp. HMSC078H03	Streptococcus sp. HMSC078H03	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KII41166.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_070449364.1	Streptococcus sp. HMSC057G03	Streptococcus sp. HMSC057G03	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_126429612.1	Streptococcus vestibularis	Streptococcus vestibularis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010775515.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_143568172.1	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_080120400.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFX54913.1	Streptococcus sp. C150	Streptococcus sp. C150	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_033656131.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_104854733.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_037617920.1	Streptococcus sinensis	Streptococcus sinensis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049474144.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
RBR64014.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFU16594.1	Enterococcus faecalis TX1346	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KGQ72038.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002355199.1	Bacilli	None	None	None	None	Bacilli	None	Firmicutes	None	Bacteria
WP_037608819.1	Streptococcus sp. C150	Streptococcus sp. C150	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_048674600.1	unclassified Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049506036.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_141428678.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_162783146.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPH65807.1	Enterococcus faecalis KI-6-1-110608-1	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFT94290.1	Enterococcus faecalis TX0012	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010819157.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002392910.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPH81463.1	Enterococcus faecalis B83616-1	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155128253.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EOE32290.1	Enterococcus faecalis EnGen0084	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049534108.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155172567.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002386045.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_118396460.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155124635.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155199844.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_048790975.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPI14847.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_156234451.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010774047.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFQ13337.1	Enterococcus faecalis TX0102	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_070756783.1	Abiotrophia sp. HMSC24B09	Abiotrophia sp. HMSC24B09	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EJV40811.1	Enterococcus faecalis R508	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_085344203.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_129193877.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_080120141.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_075578649.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_118095555.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003016837.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFT40330.1	Enterococcus faecalis TX4000	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_154863705.1	Streptococcus salivarius	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_135029955.1	Streptococcus sp. LYSM12	Streptococcus sp. LYSM12	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_117647036.1	Streptococcus vestibularis	Streptococcus vestibularis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
RKW62908.1	Riemerella sp.	Riemerella sp.	Riemerella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_003013227.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_087942350.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
RXK54174.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KII53672.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPI04409.1	Enterococcus faecalis RP2S-4	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_078122722.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_080391009.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OSH11311.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_161975113.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142429806.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142431258.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EEN73101.1	Enterococcus faecalis TX1322	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
HCS98996.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003005173.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
AAV60841.1	Streptococcus thermophilus LMG 18311	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_023894875.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_023919126.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010818250.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_129824928.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049482577.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_009731667.1	Streptococcus sp. F0442	Streptococcus sp. F0442	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_079995702.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002358340.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_006597158.1	Streptococcus australis	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_041828258.1	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_106083220.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142666051.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_113837314.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_161971998.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_140814305.1	Streptococcus sp. B4	Streptococcus sp. B4	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_162782600.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049513802.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_125826607.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KAJ77346.1	Enterococcus faecalis MTUP9	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EPH83426.1	Enterococcus faecalis 06-MB-S-10	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
ETE40850.1	Streptococcus thermophilus TH1436	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_137685717.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EEI11156.1	Enterococcus faecalis TX0104	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OSH28207.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_162782817.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002404623.1	Enterococcus	None	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_161634714.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_027130967.1	Gemella cuniculi	Gemella cuniculi	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_106388283.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_014608411.1	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_014713892.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_104674517.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_021752731.1	Gemella bergeri	Gemella bergeri	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049488979.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_048716330.1	Streptococcus sp. 343_SSPC	Streptococcus sp. 343_SSPC	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_126263753.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_155170235.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
AAV62752.1	Streptococcus thermophilus CNRZ1066	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_104859242.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
RNA46825.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002367843.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010819710.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_141417084.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_042341491.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_048789781.1	Streptococcus sp. 1171_SSPC	Streptococcus sp. 1171_SSPC	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002950994.1	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_156676429.1	Streptococcus oralis	Streptococcus oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_061564332.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_049513753.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_129270035.1	Streptococcus australis	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_090080098.1	Chryseobacterium frigidisoli	Chryseobacterium frigidisoli	Chryseobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	None	Bacteroidetes	None	Bacteria
WP_111742894.1	Gemella morbillorum	Gemella morbillorum	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_025186744.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_148880628.1	Streptococcus sp. Marseille-P7376	Streptococcus sp. Marseille-P7376	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_144207277.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003008776.1	Streptococcus parasanguinis	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
KGJ35732.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFV99717.1	Streptococcus australis ATCC 700641	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
ETJ03300.1	Streptococcus parasanguinis DORA_23_24	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_070659440.1	Streptococcus sp. HMSC072G04	Streptococcus sp. HMSC072G04	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_004224442.1	Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_010709187.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_142428456.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002364993.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_003039717.1	Streptococcus anginosus	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_084829655.1	Streptococcus thermophilus	Streptococcus thermophilus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_023024335.1	Streptococcus sp. I-P16	Streptococcus sp. I-P16	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
EFE16649.1	Enterococcus faecalis R712	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_002397563.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_154857362.1	Streptococcaceae bacterium	Streptococcaceae bacterium	None	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_128437817.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
HBJ53301.1	Streptococcus sp.	Streptococcus sp.	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_123160603.1	Streptococcus sp. AM28-20	Streptococcus sp. AM28-20	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OOP52292.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
OGX75888.1	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_125374519.1	Streptococcus australis	Streptococcus australis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_004632486.1	Gemella morbillorum	Gemella morbillorum	Gemella	None	Bacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_154607797.1	unclassified Streptococcus	None	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_027973296.1	Streptococcus porci	Streptococcus porci	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
WP_149556087.1	Streptococcus sp. Marseille-P644	Streptococcus sp. Marseille-P644	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	None	Firmicutes	None	Bacteria
