# print values over probCutOff 0.05
G/L	POS	branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	probability	expectation
loss	21	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5659	0.8133
loss	21	N26	0.1288	1.916	0.3067	2	0.07865	0.07922
gain	21	Aquifex_aeolicus	2.838	4.754	0	1	0.9901	2.154
loss	21	Aquifex_aeolicus	2.838	4.754	0	1	0.6671	1.304
gain	21	Thermotoga_maritima	0.3067	2.222	0	1	0.06326	0.0649
loss	21	Thermotoga_maritima	0.3067	2.222	0	1	0.2065	0.214
gain	21	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.0712	0.07389
loss	21	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.6298	0.6604
gain	21	N28	0.2036	0.3966	8.132e-08	2	0.4393	0.4453
gain	21	N29	0.08048	0.1994	0.08246	2	0.3406	0.3412
gain	21	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2213	0.2327
loss	21	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1135	0.118
gain	21	N30	0.08246	0.2819	2.435e-11	2	0.1206	0.121
gain	21	N31	0.3418	0.3418	0.174	2	0.08247	0.08577
loss	21	N31	0.3418	0.3418	0.174	2	0.4214	0.4366
loss	21	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.07797	0.07902
loss	21	N32	0.1448	0.4867	0.1437	3	0.06578	0.0664
loss	21	Listeria_innocua	0.243	0.7296	0	1	0.0572	0.05844
gain	21	N36	0.675	1.162	0.09281	2	0.226	0.252
loss	21	N36	0.675	1.162	0.09281	2	0.2307	0.2584
gain	22	N2	0.1189	0.1189	0.1629	3	0.07732	0.07749
loss	22	N8	0.102	0.3178	7.569e-08	2	0.996	0.997
gain	22	Escherichia_coli_K12	0.01771	0.5836	0	1	1	1
gain	22	N15	0.8811	1.379	1.882e-11	2	0.1502	0.1593
loss	22	N15	0.8811	1.379	1.882e-11	2	0.1517	0.1612
gain	22	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08628	0.08888
loss	22	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08257	0.08481
gain	22	N17	1.124	1.34	0.001039	2	0.1111	0.1191
loss	22	N17	1.124	1.34	0.001039	2	0.9977	1.115
gain	22	N22	1.46	1.676	4.898e-06	2	0.1705	0.1896
loss	22	N22	1.46	1.676	4.898e-06	2	0.9982	1.186
gain	22	N23	0.8467	2.523	2.697e-11	2	0.1418	0.1499
loss	22	N23	0.8467	2.523	2.697e-11	2	0.1418	0.1499
gain	22	N25	1.647	1.787	0.4354	2	0.3943	0.4662
loss	22	N25	1.647	1.787	0.4354	2	0.6161	0.7624
gain	22	Fusobacterium_nucleatum	1.445	3.232	0	1	0.213	0.2409
loss	22	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7922	0.919
gain	22	N26	0.1288	1.916	0.3067	2	0.0872	0.0874
gain	22	Aquifex_aeolicus	2.838	4.754	0	1	0.4511	0.6174
loss	22	Aquifex_aeolicus	2.838	4.754	0	1	0.9093	1.362
gain	22	Thermotoga_maritima	0.3067	2.222	0	1	0.2757	0.2793
loss	22	N27	0.05299	0.193	0.2036	2	0.05227	0.05229
gain	22	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1203	0.1229
loss	22	N28	0.2036	0.3966	8.132e-08	2	0.9251	0.9289
gain	22	N31	0.3418	0.3418	0.174	2	0.05449	0.05537
loss	22	N31	0.3418	0.3418	0.174	2	0.1513	0.1537
loss	22	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.825	0.8274
gain	22	N32	0.1448	0.4867	0.1437	3	0.1807	0.1813
gain	22	N36	0.675	1.162	0.09281	2	0.1398	0.1462
loss	22	N36	0.675	1.162	0.09281	2	0.1386	0.1448
gain	23	Yersinia_pestis	0.2301	0.7426	0	1	0.9762	0.9849
gain	23	N15	0.8811	1.379	1.882e-11	2	0.1821	0.2064
loss	23	N15	0.8811	1.379	1.882e-11	2	0.2002	0.2298
gain	23	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08755	0.09239
loss	23	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.08854	0.09358
gain	23	N17	1.124	1.34	0.001039	2	0.246	0.2941
loss	23	N17	1.124	1.34	0.001039	2	0.2466	0.2953
gain	23	N22	1.46	1.676	4.898e-06	2	0.3227	0.4143
loss	23	N22	1.46	1.676	4.898e-06	2	0.3231	0.4155
gain	23	N23	0.8467	2.523	2.697e-11	2	0.1763	0.1988
loss	23	N23	0.8467	2.523	2.697e-11	2	0.1763	0.1988
gain	23	N25	1.647	1.787	0.4354	2	0.7514	0.9695
loss	23	N25	1.647	1.787	0.4354	2	0.2999	0.4038
gain	23	Fusobacterium_nucleatum	1.445	3.232	0	1	0.2603	0.3336
loss	23	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7332	0.9064
gain	23	N26	0.1288	1.916	0.3067	2	0.1343	0.1348
gain	23	Aquifex_aeolicus	2.838	4.754	0	1	0.7693	1.358
loss	23	Aquifex_aeolicus	2.838	4.754	0	1	0.6223	1.038
gain	23	Thermotoga_maritima	0.3067	2.222	0	1	0.3462	0.3545
gain	23	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.05702	0.05897
loss	23	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.06641	0.06925
loss	23	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.05466	0.05652
gain	23	N31	0.3418	0.3418	0.174	2	0.05907	0.06121
loss	23	N31	0.3418	0.3418	0.174	2	0.069	0.07148
gain	23	Listeria_innocua	0.243	0.7296	0	1	0.9802	0.9897
gain	23	N36	0.675	1.162	0.09281	2	0.1291	0.1405
loss	23	N36	0.675	1.162	0.09281	2	0.1454	0.1607
gain	24	N2	0.1189	0.1189	0.1629	3	0.1981	0.2
loss	24	N2	0.1189	0.1189	0.1629	3	0.07309	0.07373
gain	24	N4	0.09654	0.2155	0.1023	3	0.06426	0.06466
loss	24	N4	0.09654	0.2155	0.1023	3	0.1516	0.1526
gain	24	N8	0.102	0.3178	7.569e-08	2	0.605	0.6095
loss	24	N9	0.08611	0.4039	0.162	2	0.05409	0.05435
loss	24	N10	0.09368	0.4976	0.06827	3	0.06446	0.06482
gain	24	N12	0.05066	0.5631	0.002765	2	0.06849	0.06862
loss	24	Yersinia_pestis	0.2301	0.7426	0	1	0.9427	0.9782
gain	24	N15	0.8811	1.379	1.882e-11	2	0.395	0.4656
loss	24	N15	0.8811	1.379	1.882e-11	2	0.9711	1.399
gain	24	Vibrio_cholerae	0.2741	0.6781	0	1	0.2014	0.2083
loss	24	Vibrio_cholerae	0.2741	0.6781	0	1	0.1657	0.1706
gain	24	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2476	0.2676
loss	24	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.5839	0.6726
gain	24	N17	1.124	1.34	0.001039	2	0.6064	0.8112
loss	24	N17	1.124	1.34	0.001039	2	0.7955	1.216
loss	24	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.4352	0.444
loss	24	N18	0.08709	0.3028	0.08119	2	0.3163	0.3181
loss	24	N19	0.04472	0.3475	0.03648	3	0.07658	0.07669
loss	24	N20	0.09521	0.4427	0.03546	2	0.05012	0.0504
gain	24	Brucella_melitensis	0.3466	0.6941	0	1	0.9736	1.055
loss	24	Brucella_melitensis	0.3466	0.6941	0	1	0.08847	0.09109
gain	24	Caulobacter_vibrioides	0.1842	0.487	0	1	0.05802	0.05874
loss	24	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1607	0.1641
gain	24	N22	1.46	1.676	4.898e-06	2	0.7334	1.122
loss	24	N22	1.46	1.676	4.898e-06	2	0.8615	1.527
gain	24	N23	0.8467	2.523	2.697e-11	2	0.5338	0.6556
loss	24	N23	0.8467	2.523	2.697e-11	2	0.5338	0.6556
loss	24	N24	0.02108	0.1401	0.2566	3	0.06035	0.06037
gain	24	N25	1.647	1.787	0.4354	2	0.8303	1.457
loss	24	N25	1.647	1.787	0.4354	2	0.8801	1.658
gain	24	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7471	1.153
loss	24	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8259	1.392
gain	24	N26	0.1288	1.916	0.3067	2	0.09717	0.0982
loss	24	N26	0.1288	1.916	0.3067	2	0.1264	0.1278
gain	24	Aquifex_aeolicus	2.838	4.754	0	1	0.9481	2.457
loss	24	Aquifex_aeolicus	2.838	4.754	0	1	0.9615	2.666
gain	24	Thermotoga_maritima	0.3067	2.222	0	1	0.1297	0.1339
loss	24	Thermotoga_maritima	0.3067	2.222	0	1	0.3251	0.3432
loss	24	N27	0.05299	0.193	0.2036	2	0.1414	0.1417
gain	24	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1771	0.186
loss	24	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.462	0.5047
gain	24	N28	0.2036	0.3966	8.132e-08	2	0.05947	0.06032
loss	24	N28	0.2036	0.3966	8.132e-08	2	0.3684	0.379
gain	24	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.03
gain	24	N29	0.08048	0.1994	0.08246	2	0.3219	0.3233
gain	24	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.4226	0.4522
loss	24	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.2361	0.2476
gain	24	N30	0.08246	0.2819	2.435e-11	2	0.2169	0.218
gain	24	N31	0.3418	0.3418	0.174	2	0.1812	0.1901
loss	24	N31	0.3418	0.3418	0.174	2	0.431	0.4622
gain	24	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.05274	0.05333
loss	24	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.1453	0.148
gain	24	N32	0.1448	0.4867	0.1437	3	0.05685	0.05744
loss	24	N32	0.1448	0.4867	0.1437	3	0.1124	0.1139
gain	24	Listeria_innocua	0.243	0.7296	0	1	0.09821	0.1003
loss	24	Listeria_innocua	0.243	0.7296	0	1	0.1348	0.1385
gain	24	N35	0.1284	0.6151	0.01528	2	0.06772	0.06837
loss	24	N35	0.1284	0.6151	0.01528	2	0.05498	0.05547
gain	24	Bacillus_halodurans	0.1233	0.7384	0	1	0.9507	0.9612
loss	24	Bacillus_subtilis	0.01528	0.6304	0	1	0.0516	0.05161
loss	24	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.07627	0.07717
gain	24	N36	0.675	1.162	0.09281	2	0.5031	0.5992
loss	24	N36	0.675	1.162	0.09281	2	0.4219	0.4885
loss	24	Streptococcus_pyogenes_M1	0.09281	1.254	0	1	0.1637	0.1647
loss	24	Streptococcus_pneumoniae_TIGR4	0.09392	1.256	0	1	0.164	0.1651
gain	24	Lactococcus_lactis	0.1139	1.276	0	1	0.8557	0.8637
gain	25	N2	0.1189	0.1189	0.1629	3	0.2909	0.2916
loss	25	N9	0.08611	0.4039	0.162	2	0.1195	0.1197
loss	25	N10	0.09368	0.4976	0.06827	3	0.7311	0.732
loss	25	N11	0.01484	0.5125	0.05343	2	0.07841	0.07842
loss	25	N12	0.05066	0.5631	0.002765	2	0.07678	0.07682
loss	25	Yersinia_pestis	0.2301	0.7426	0	1	0.09533	0.09627
gain	25	N15	0.8811	1.379	1.882e-11	2	0.1821	0.1966
loss	25	N15	0.8811	1.379	1.882e-11	2	0.3185	0.3508
gain	25	Vibrio_cholerae	0.2741	0.6781	0	1	0.1469	0.149
gain	25	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1177	0.1224
loss	25	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1176	0.1222
gain	25	N17	1.124	1.34	0.001039	2	0.1513	0.1662
loss	25	N17	1.124	1.34	0.001039	2	0.9999	1.166
loss	25	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.9825	0.9846
gain	25	Brucella_melitensis	0.3466	0.6941	0	1	0.05729	0.05843
loss	25	Brucella_melitensis	0.3466	0.6941	0	1	0.05712	0.05824
gain	25	N22	1.46	1.676	4.898e-06	2	0.227	0.2613
loss	25	N22	1.46	1.676	4.898e-06	2	0.9999	1.261
gain	25	N23	0.8467	2.523	2.697e-11	2	0.1878	0.2024
loss	25	N23	0.8467	2.523	2.697e-11	2	0.1878	0.2024
gain	25	N25	1.647	1.787	0.4354	2	0.3328	0.4039
loss	25	N25	1.647	1.787	0.4354	2	0.9325	1.218
gain	25	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3423	0.4023
loss	25	Fusobacterium_nucleatum	1.445	3.232	0	1	0.471	0.5719
loss	25	N26	0.1288	1.916	0.3067	2	0.06235	0.06255
gain	25	Aquifex_aeolicus	2.838	4.754	0	1	0.9823	1.69
loss	25	Aquifex_aeolicus	2.838	4.754	0	1	0.564	0.8252
loss	25	Thermotoga_maritima	0.3067	2.222	0	1	0.1656	0.1683
loss	25	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.9682	0.9898
gain	25	N28	0.2036	0.3966	8.132e-08	2	0.0536	0.0541
gain	25	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.06405	0.06552
loss	25	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.06037	0.06161
loss	25	N31	0.3418	0.3418	0.174	2	0.673	0.6841
loss	25	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.06662	0.06701
loss	25	N32	0.1448	0.4867	0.1437	3	0.06082	0.06106
gain	25	N36	0.675	1.162	0.09281	2	0.1351	0.1424
loss	25	N36	0.675	1.162	0.09281	2	0.1371	0.1448
loss	26	N2	0.1189	0.1189	0.1629	3	0.1642	0.1656
loss	26	N8	0.102	0.3178	7.569e-08	2	0.07565	0.07618
gain	26	Yersinia_pestis	0.2301	0.7426	0	1	0.07691	0.07834
loss	26	Yersinia_pestis	0.2301	0.7426	0	1	0.08957	0.09151
gain	26	N15	0.8811	1.379	1.882e-11	2	0.4805	0.5906
loss	26	N15	0.8811	1.379	1.882e-11	2	0.4914	0.6086
gain	26	Vibrio_cholerae	0.2741	0.6781	0	1	0.1028	0.1055
loss	26	Vibrio_cholerae	0.2741	0.6781	0	1	0.1226	0.1265
gain	26	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2547	0.2762
loss	26	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.304	0.3355
gain	26	N17	1.124	1.34	0.001039	2	0.5825	0.7825
loss	26	N17	1.124	1.34	0.001039	2	0.6101	0.8418
loss	26	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.1002	0.1018
gain	26	N18	0.08709	0.3028	0.08119	2	0.3362	0.3379
gain	26	N19	0.04472	0.3475	0.03648	3	0.4538	0.4543
gain	26	N20	0.09521	0.4427	0.03546	2	0.08055	0.08097
loss	26	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.8684	0.8757
gain	26	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.1366	0.1367
gain	26	Brucella_melitensis	0.3466	0.6941	0	1	0.0816	0.08408
loss	26	Brucella_melitensis	0.3466	0.6941	0	1	0.8579	0.9189
gain	26	Mesorhizobium_loti	0.03647	0.384	0	1	0.1673	0.1675
loss	26	Caulobacter_vibrioides	0.1842	0.487	0	1	0.4146	0.4237
gain	26	N22	1.46	1.676	4.898e-06	2	0.6945	1.061
loss	26	N22	1.46	1.676	4.898e-06	2	0.7133	1.121
gain	26	N23	0.8467	2.523	2.697e-11	2	0.4661	0.5661
loss	26	N23	0.8467	2.523	2.697e-11	2	0.4661	0.5661
gain	26	N25	1.647	1.787	0.4354	2	0.7896	1.377
loss	26	N25	1.647	1.787	0.4354	2	0.7346	1.213
gain	26	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6706	1.007
loss	26	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7543	1.226
gain	26	N26	0.1288	1.916	0.3067	2	0.08348	0.08432
loss	26	N26	0.1288	1.916	0.3067	2	0.112	0.1132
gain	26	Aquifex_aeolicus	2.838	4.754	0	1	0.8938	2.164
loss	26	Aquifex_aeolicus	2.838	4.754	0	1	0.9136	2.354
gain	26	Thermotoga_maritima	0.3067	2.222	0	1	0.1105	0.1139
loss	26	Thermotoga_maritima	0.3067	2.222	0	1	0.2889	0.3039
gain	26	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1755	0.1845
loss	26	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.2277	0.2428
gain	26	N28	0.2036	0.3966	8.132e-08	2	0.06008	0.06095
loss	26	N28	0.2036	0.3966	8.132e-08	2	0.1166	0.1193
gain	26	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.06264	0.06356
loss	26	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.06264	0.06356
gain	26	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.156	0.1628
loss	26	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1866	0.1965
gain	26	N31	0.3418	0.3418	0.174	2	0.5228	0.5568
loss	26	N31	0.3418	0.3418	0.174	2	0.1552	0.1627
gain	26	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.4592	0.4672
gain	26	N32	0.1448	0.4867	0.1437	3	0.08673	0.08781
loss	26	N32	0.1448	0.4867	0.1437	3	0.208	0.2106
gain	26	Listeria_innocua	0.243	0.7296	0	1	0.06175	0.0629
loss	26	Listeria_innocua	0.243	0.7296	0	1	0.4981	0.5157
gain	26	N35	0.1284	0.6151	0.01528	2	0.5512	0.5566
loss	26	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.4706	0.4766
gain	26	N36	0.675	1.162	0.09281	2	0.3047	0.3443
loss	26	N36	0.675	1.162	0.09281	2	0.6476	0.7882
gain	27	N2	0.1189	0.1189	0.1629	3	0.05992	0.06018
gain	27	N15	0.8811	1.379	1.882e-11	2	0.116	0.1241
loss	27	N15	0.8811	1.379	1.882e-11	2	0.9926	1.113
loss	27	Vibrio_cholerae	0.2741	0.6781	0	1	0.9718	0.9843
loss	27	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.9997	1.044
gain	27	N17	1.124	1.34	0.001039	2	0.1719	0.1898
loss	27	N17	1.124	1.34	0.001039	2	0.9998	1.189
loss	27	Brucella_melitensis	0.3466	0.6941	0	1	0.9996	1.02
gain	27	N22	1.46	1.676	4.898e-06	2	0.2569	0.2976
loss	27	N22	1.46	1.676	4.898e-06	2	0.9999	1.297
gain	27	N23	0.8467	2.523	2.697e-11	2	0.2119	0.2292
loss	27	N23	0.8467	2.523	2.697e-11	2	0.2119	0.2292
gain	27	N25	1.647	1.787	0.4354	2	0.3716	0.4543
loss	27	N25	1.647	1.787	0.4354	2	0.9486	1.277
gain	27	Fusobacterium_nucleatum	1.445	3.232	0	1	0.3827	0.4531
loss	27	Fusobacterium_nucleatum	1.445	3.232	0	1	0.5077	0.6245
loss	27	N26	0.1288	1.916	0.3067	2	0.06735	0.06757
gain	27	Aquifex_aeolicus	2.838	4.754	0	1	0.6973	1.064
loss	27	Aquifex_aeolicus	2.838	4.754	0	1	0.7507	1.199
loss	27	Thermotoga_maritima	0.3067	2.222	0	1	0.17	0.1731
gain	27	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.08889	0.09154
loss	27	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.08134	0.08339
loss	27	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.9849	1.006
gain	27	N31	0.3418	0.3418	0.174	2	0.1018	0.1044
loss	27	N31	0.3418	0.3418	0.174	2	0.07498	0.07684
gain	27	Listeria_innocua	0.243	0.7296	0	1	0.07259	0.07374
loss	27	N35	0.1284	0.6151	0.01528	2	0.9399	0.9425
gain	27	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.05309	0.05343
gain	27	N36	0.675	1.162	0.09281	2	0.077	0.08084
loss	27	N36	0.675	1.162	0.09281	2	0.9657	1.035
gain	28	N2	0.1189	0.1189	0.1629	3	0.1161	0.1171
loss	28	N2	0.1189	0.1189	0.1629	3	0.09574	0.09642
loss	28	N4	0.09654	0.2155	0.1023	3	0.2015	0.2025
loss	28	N8	0.102	0.3178	7.569e-08	2	0.4342	0.4367
gain	28	Yersinia_pestis	0.2301	0.7426	0	1	0.07008	0.07135
loss	28	Yersinia_pestis	0.2301	0.7426	0	1	0.08136	0.08308
gain	28	N15	0.8811	1.379	1.882e-11	2	0.448	0.546
loss	28	N15	0.8811	1.379	1.882e-11	2	0.4578	0.5621
gain	28	Vibrio_cholerae	0.2741	0.6781	0	1	0.09378	0.09616
loss	28	Vibrio_cholerae	0.2741	0.6781	0	1	0.1116	0.1149
gain	28	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.1916	0.2059
loss	28	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.5614	0.6311
gain	28	N17	1.124	1.34	0.001039	2	0.4934	0.642
loss	28	N17	1.124	1.34	0.001039	2	0.7394	1.067
loss	28	Ralstonia_solanacearum	0.1671	0.3829	0	1	0.4476	0.4545
gain	28	N18	0.08709	0.3028	0.08119	2	0.5058	0.5078
gain	28	N19	0.04472	0.3475	0.03648	3	0.06811	0.0682
gain	28	Brucella_melitensis	0.3466	0.6941	0	1	0.06372	0.06539
loss	28	Brucella_melitensis	0.3466	0.6941	0	1	0.9902	1.054
gain	28	Caulobacter_vibrioides	0.1842	0.487	0	1	0.1304	0.1328
loss	28	Caulobacter_vibrioides	0.1842	0.487	0	1	0.05641	0.0571
gain	28	N22	1.46	1.676	4.898e-06	2	0.6117	0.8959
loss	28	N22	1.46	1.676	4.898e-06	2	0.8037	1.324
gain	28	N23	0.8467	2.523	2.697e-11	2	0.4338	0.5229
loss	28	N23	0.8467	2.523	2.697e-11	2	0.4338	0.5229
loss	28	N24	0.02108	0.1401	0.2566	3	0.07621	0.07623
gain	28	N25	1.647	1.787	0.4354	2	0.7082	1.166
loss	28	N25	1.647	1.787	0.4354	2	0.8412	1.47
gain	28	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6349	0.9361
loss	28	Fusobacterium_nucleatum	1.445	3.232	0	1	0.7259	1.151
gain	28	N26	0.1288	1.916	0.3067	2	0.0767	0.07745
loss	28	N26	0.1288	1.916	0.3067	2	0.107	0.108
gain	28	Aquifex_aeolicus	2.838	4.754	0	1	0.8721	2.025
loss	28	Aquifex_aeolicus	2.838	4.754	0	1	0.8971	2.209
gain	28	Thermotoga_maritima	0.3067	2.222	0	1	0.101	0.104
loss	28	Thermotoga_maritima	0.3067	2.222	0	1	0.275	0.2884
loss	28	N27	0.05299	0.193	0.2036	2	0.1782	0.1785
gain	28	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1345	0.1407
loss	28	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.4599	0.495
loss	28	N28	0.2036	0.3966	8.132e-08	2	0.3904	0.3993
gain	28	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	1	1.023
gain	28	N29	0.08048	0.1994	0.08246	2	0.2792	0.2801
gain	28	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.3211	0.3412
loss	28	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1861	0.1946
gain	28	N30	0.08246	0.2819	2.435e-11	2	0.1564	0.157
gain	28	N31	0.3418	0.3418	0.174	2	0.4353	0.4608
loss	28	N31	0.3418	0.3418	0.174	2	0.1811	0.1905
gain	28	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.2029	0.2068
gain	28	N32	0.1448	0.4867	0.1437	3	0.09873	0.09997
loss	28	N32	0.1448	0.4867	0.1437	3	0.0962	0.09738
gain	28	Listeria_innocua	0.243	0.7296	0	1	0.2404	0.2486
loss	28	Listeria_innocua	0.243	0.7296	0	1	0.08917	0.09104
loss	28	N35	0.1284	0.6151	0.01528	2	0.8229	0.83
gain	28	Staphylococcus_aureus_N315	0.1437	0.6304	0	1	0.1868	0.1893
gain	28	N36	0.675	1.162	0.09281	2	0.2307	0.2566
loss	28	N36	0.675	1.162	0.09281	2	0.9049	1.09
loss	29	N2	0.1189	0.1189	0.1629	3	0.1656	0.1669
gain	29	N9	0.08611	0.4039	0.162	2	0.2478	0.2489
gain	29	N10	0.09368	0.4976	0.06827	3	0.5545	0.5572
gain	29	N11	0.01484	0.5125	0.05343	2	0.109	0.1091
gain	29	N12	0.05066	0.5631	0.002765	2	0.1126	0.1128
gain	29	Yersinia_pestis	0.2301	0.7426	0	1	0.1936	0.1989
loss	29	Yersinia_pestis	0.2301	0.7426	0	1	0.08829	0.09
gain	29	N15	0.8811	1.379	1.882e-11	2	0.3429	0.4046
loss	29	N15	0.8811	1.379	1.882e-11	2	0.8849	1.188
gain	29	Vibrio_cholerae	0.2741	0.6781	0	1	0.08374	0.08579
loss	29	Vibrio_cholerae	0.2741	0.6781	0	1	0.3118	0.3247
gain	29	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2486	0.2693
loss	29	Xylella_fastidiosa_9a5c	0.5102	0.726	0	1	0.2551	0.2772
gain	29	N17	1.124	1.34	0.001039	2	0.5673	0.7589
loss	29	N17	1.124	1.34	0.001039	2	0.571	0.7667
gain	29	N20	0.09521	0.4427	0.03546	2	0.3962	0.3985
loss	29	Agrobacterium_tumefaciens_Cereon	0.1172	0.5599	0	1	0.4234	0.427
gain	29	Sinorhizobium_meliloti	0.03546	0.4781	0	1	0.5894	0.5898
gain	29	Brucella_melitensis	0.3466	0.6941	0	1	0.1409	0.1465
loss	29	Brucella_melitensis	0.3466	0.6941	0	1	0.1637	0.1715
loss	29	Caulobacter_vibrioides	0.1842	0.487	0	1	0.06712	0.06817
gain	29	N22	1.46	1.676	4.898e-06	2	0.6776	1.028
loss	29	N22	1.46	1.676	4.898e-06	2	0.6801	1.036
gain	29	N23	0.8467	2.523	2.697e-11	2	0.4453	0.5382
loss	29	N23	0.8467	2.523	2.697e-11	2	0.4453	0.5382
gain	29	N25	1.647	1.787	0.4354	2	0.8547	1.486
loss	29	N25	1.647	1.787	0.4354	2	0.6808	1.096
gain	29	Fusobacterium_nucleatum	1.445	3.232	0	1	0.6185	0.9145
loss	29	Fusobacterium_nucleatum	1.445	3.232	0	1	0.8281	1.338
gain	29	N26	0.1288	1.916	0.3067	2	0.1609	0.1624
loss	29	N26	0.1288	1.916	0.3067	2	0.07867	0.07944
gain	29	Aquifex_aeolicus	2.838	4.754	0	1	0.8537	1.987
loss	29	Aquifex_aeolicus	2.838	4.754	0	1	0.9563	2.494
gain	29	Thermotoga_maritima	0.3067	2.222	0	1	0.57	0.601
loss	29	Thermotoga_maritima	0.3067	2.222	0	1	0.1041	0.1073
gain	29	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.1673	0.1758
loss	29	Deinococcus_radiodurans	0.3914	0.5844	0	1	0.2062	0.2192
gain	29	N28	0.2036	0.3966	8.132e-08	2	0.05715	0.05797
loss	29	N28	0.2036	0.3966	8.132e-08	2	0.09927	0.1014
gain	29	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.05901	0.05986
loss	29	Synechocystis_sp__PCC6803	0.2034	0.6	0	1	0.05901	0.05986
gain	29	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1482	0.1546
loss	29	Corynebacterium_glutamicum	0.3582	0.5576	0	1	0.1702	0.1786
gain	29	N31	0.3418	0.3418	0.174	2	0.5226	0.5549
loss	29	N31	0.3418	0.3418	0.174	2	0.1429	0.1496
gain	29	Clostridium_acetobutylicum	0.174	0.5158	0	1	0.46	0.4676
gain	29	N32	0.1448	0.4867	0.1437	3	0.08232	0.08332
loss	29	N32	0.1448	0.4867	0.1437	3	0.2045	0.2069
gain	29	Listeria_innocua	0.243	0.7296	0	1	0.05831	0.05938
loss	29	Listeria_innocua	0.243	0.7296	0	1	0.4918	0.5082
